Metric Name	Metric Tier	Mapped Function	Metric Data Source	Example Detailed Assessment as it "On" (only 1 metric per function)	Source	Metric Statement	Description	Method/Context	How To Measure	References	Stratification	Field Value 1	Index Value 1	Field Value 2	Index Value 2	Field Value 3	Index Value 3	Field Value 4	Index Value 4	Field Value 5	Index Value 5	Field Value 6	Index Value 6	Field Value 7	Index Value 7
Erosion Rate (ft/yr)	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		South Carolina SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	South Carolina SQT; BEHI/greenline stability methods where used; aerial imagery for context		0.71	0		0.29	0.4	0.3		0.69	0.2	0.7	0.1	1		
Percent Streambank Erosion (%)	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		South Carolina SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	South Carolina SQT; BEHI/greenline stability methods where used; aerial imagery for context		50	0		0.29		0.3		0.69	11	0.7	5	1		
Percent Streambank Armoring	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		South Carolina SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	South Carolina SQT; BEHI/greenline stability methods where used; aerial imagery for context		30	0		0.29		0.3		0.69		0.7	0	1		
Average Diameter at Breast Height (DBH)	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		South Carolina SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	South Carolina SQT; State SQT protocol		0	0		0.29		0.3		0.69		0.7	9.3	1		
Bank Height Ratio (BHR)	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wisconsin SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wisconsin SQT; BEHI/greenline stability methods where used; aerial imagery for context			0		0.29	1.5	0.3		0.69		0.7	1	1		
Percent Streambank Erosion	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wisconsin SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wisconsin SQT; BEHI/greenline stability methods where used; aerial imagery for context		50	0		0.29		0.3		0.69	11	0.7	5	1		
Percent Streambank Armoring	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wisconsin SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wisconsin SQT; BEHI/greenline stability methods where used; aerial imagery for context		50	0		0.29		0.3		0.69		0.7	0	1		
Greenline Stability Rating	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wyoming SQT; BEHI/greenline stability methods where used; aerial imagery for context		2	0		0.29	5	0.3		0.69	7	0.7	9	1		
Percent Streambank Erosion (%)	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wyoming SQT; BEHI/greenline stability methods where used; aerial imagery for context		75	0		0.29		0.3		0.69	10	0.7	5	1		
Bank Height Ratio (BHR)	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wyoming SQT; BEHI/greenline stability methods where used; aerial imagery for context			0		0.29	1.5	0.3		0.69		0.7	1	1		
Percent Streambank Armoring	Detailed	Channel and floodplain dynamics	Field geomorphic/bank assessment (e.g., BEHI components, greenline stability) with optional imagery support.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Bank stability/erosion and protection condition influencing channel change, sediment delivery, and habitat structure.	"Context: Channel/Riparian
Method: Field"	Map eroding and armored bank length, measure bank height and bankfull stage where needed, and/or score greenline stability per SQT protocol; compute percent lengths or ratios.	Wyoming SQT; BEHI/greenline stability methods where used; aerial imagery for context		30	0		0.29		0.3		0.69		0.7	0	1		
RIVPACS Plot 1	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Wyoming Basin	0.15	0		0.29	0.64	0.3		0.69	0.82	0.7	1.18	1		
RIVPACS Plot 1	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Black Hills	0.37	0		0.29	0.59	0.3		0.69	0.88	0.7	1.08	1		
RIVPACS Plot 1	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	High Valleys	0.42	0		0.29	0.68	0.3		0.69	0.86	0.7	1.14	1		
RIVPACS Plot 1	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Sedimentary Mountains	0.42	0		0.29	0.68	0.3		0.69	0.82	0.7	1.17	1		
RIVPACS Plot 2	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Southern Rockies	0.27	0		0.29	0.62	0.3		0.69	0.89	0.7	1.18	1		
RIVPACS Plot 2	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	SE Plains	0.34	0		0.29	0.51	0.3		0.69	0.78	0.7	1.12	1		
RIVPACS Plot 2	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	NE Plains	0.11	0		0.29	0.52	0.3		0.69	0.75	0.7	0.98	1		
RIVPACS Plot 3	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Granitic Mountains	0.59	0		0.29	0.65	0.3		0.69	0.88	0.7	1.09	1		
RIVPACS Plot 3	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Bighorn Basin Foothills	0.41	0		0.29	0.63	0.3		0.69	0.84	0.7	0.92	1		
RIVPACS Plot 3	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Southern Foothills & Laramie Range	0.29	0		0.29	0.68	0.3		0.69	0.88	0.7	1.2	1		
RIVPACS Plot 3	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Volcanic Mountains & Valleys	0.21	0		0.29	0.65	0.3		0.69	0.86	0.7	1.21	1		
Percent Side Channels	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Unconfined Alluvial	0	0		0.29	10	0.3		0.69	50	0.7	100	1		
Percent Side Channels	Detailed	Channel and floodplain dynamics	SQT-defined metric; see state protocol.		Wyoming SQT	Bank processes, planform, and riparian condition shape habitat complexity; balanced erosion and protection support stability.	Metric definition and measurement are state SQT-specific.	"Context: Varies
Method: See state SQT protocol"	Follow the state SQT metric definition and apply the scoring breakpoints for the appropriate stratum.	Wyoming SQT; State SQT protocol	Confined Alluvial	0	0		0.29	5	0.3		0.69	25	0.7	50	1		
Aggradation Ratio	Detailed	Sediment continuity	Field channel surveys and/or repeat cross sections/longitudinal profiles to compare bed elevation or depositional indicators.	On	Colorado SQT	Sediment supply, transport, and deposition remain in balance to maintain channel morphology and habitat quality.	Indicator of net sediment deposition/aggradation relative to reference condition.	"Context: Channel
Method: Field or Desktop (repeat elevation data)"	Measure bed and bankfull indicators at repeat cross sections (or compare elevation datasets) to compute aggradation ratio per SQT definition.	Colorado SQT; USGS 3DEP LiDAR/DEM differencing where available; geomorphic survey references		1.6	0		0.29	1.4	0.3	1.2	0.69		0.7	1	1		
Aggradation Ratio	Detailed	Sediment continuity	Field channel surveys and/or repeat cross sections/longitudinal profiles to compare bed elevation or depositional indicators.		Michigan SQT	Sediment supply, transport, and deposition remain in balance to maintain channel morphology and habitat quality.	Indicator of net sediment deposition/aggradation relative to reference condition.	"Context: Channel
Method: Field or Desktop (repeat elevation data)"	Measure bed and bankfull indicators at repeat cross sections (or compare elevation datasets) to compute aggradation ratio per SQT definition.	Michigan SQT; USGS 3DEP LiDAR/DEM differencing where available; geomorphic survey references		1.6	0		0.29	1.4	0.3	1.2	0.69		0.7	1	1		
Aggradation Ratio	Detailed	Sediment continuity	Field channel surveys and/or repeat cross sections/longitudinal profiles to compare bed elevation or depositional indicators.		Minnesota SQT	Sediment supply, transport, and deposition remain in balance to maintain channel morphology and habitat quality.	Indicator of net sediment deposition/aggradation relative to reference condition.	"Context: Channel
Method: Field or Desktop (repeat elevation data)"	Measure bed and bankfull indicators at repeat cross sections (or compare elevation datasets) to compute aggradation ratio per SQT definition.	Minnesota SQT; USGS 3DEP LiDAR/DEM differencing where available; geomorphic survey references		1.6	0		0.29	1.4	0.3	1.2	0.69		0.7	1	1		
Aggradation Ratio	Detailed	Sediment continuity	Field channel surveys and/or repeat cross sections/longitudinal profiles to compare bed elevation or depositional indicators.		North Carolina SQT	Sediment supply, transport, and deposition remain in balance to maintain channel morphology and habitat quality.	Indicator of net sediment deposition/aggradation relative to reference condition.	"Context: Channel
Method: Field or Desktop (repeat elevation data)"	Measure bed and bankfull indicators at repeat cross sections (or compare elevation datasets) to compute aggradation ratio per SQT definition.	North Carolina SQT; USGS 3DEP LiDAR/DEM differencing where available; geomorphic survey references		1.6	0		0.29	1.4	0.3	1.2	0.69		0.7	1	1		
Percent Fines < 2mm	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.	On	Alaska SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	Alaska SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols	Gravel Bed		0		0.29	37	0.3		0.69	15	0.7	3	1		
Percent Fines < 2mm	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.		Alaska SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	Alaska SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols	Cobble, Boulders, Bedrock		0		0.29	10	0.3		0.69	5	0.7	0	1		
Bed Material Characterization	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.		North Carolina SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	North Carolina SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols		0.01	0	0.05	0.29		0.3	0.1	0.652		0.7	0.11	1		
Percent Fines <2mm	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.		Wisconsin SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	Wisconsin SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols		32	0		0.29		0.3		0.69	14.8	0.7	5	1		
Percent Fines <6.35mm	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.		Wisconsin SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	Wisconsin SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols		35	0		0.29		0.3		0.69	16.9	0.7	5	1		
Median Particle Size (d50)	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.		Wisconsin SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	Wisconsin SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols		10	0		0.29		0.3		0.69	34	0.7	70	1		
Percent Fines (% < 2mm)	Detailed	Bed composition and bedform dynamics	Field substrate surveys (pebble count/sieve) and/or visual bed material characterization.		Wyoming SQT	Streambed substrate size and composition support aquatic habitat and influence stability and sediment transport.	Streambed substrate size distribution used to infer habitat quality, sediment transport, and embeddedness/fine sediment stress.	"Context: Channel
Method: Field"	Conduct pebble count or substrate characterization per SQT method; compute percent fines or D50 and apply scoring thresholds (stratified by bed type where needed).	Wyoming SQT; Wolman/USGS pebble count methods where applicable; state substrate assessment protocols		50	0		0.29		0.3		0.69	15	0.7	5	1		
Daily Maximum Temperature	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.	On	Alaska SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Alaska SQT; USGS NWIS temperature where available; regional temperature products where available			0		0.29	1.25	0.3		0.69		0.7	1.1	1		
MWAT	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Colorado SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Colorado SQT; USGS NWIS temperature where available; regional temperature products where available	CS-I (MWF)		0		0.29	16.9	0.3		0.69		0.7	13.8	1		
MWAT	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Colorado SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Colorado SQT; USGS NWIS temperature where available; regional temperature products where available	CS-I		0		0.29	17	0.3		0.69		0.7	15.7	1		
MWAT	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Colorado SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Colorado SQT; USGS NWIS temperature where available; regional temperature products where available	CS-II		0		0.29	18.3	0.3		0.69		0.7	16.6	1		
MWAT	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Colorado SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Colorado SQT; USGS NWIS temperature where available; regional temperature products where available	WS-I		0		0.29	24.2	0.3		0.69		0.7	20.9	1		
MWAT	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Colorado SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Colorado SQT; USGS NWIS temperature where available; regional temperature products where available	WS-II		0		0.29	27.5	0.3		0.69		0.7	22.5	1		
MWAT	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Colorado SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Colorado SQT; USGS NWIS temperature where available; regional temperature products where available	WS-III		0		0.29	28.7	0.3		0.69		0.7	25.9	1		
July Mean Temperature (°F)	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Michigan SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Michigan SQT; USGS NWIS temperature where available; regional temperature products where available	Coldwater		0		0.29	66.2	0.3		0.69		0.7	59	1		
July Mean Temperature (°F)	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Michigan SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Michigan SQT; USGS NWIS temperature where available; regional temperature products where available	Cold-transitional		0		0.29	69.8	0.3		0.69		0.7	66.2	1		
July Mean Temperature (°F)	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Michigan SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Michigan SQT; USGS NWIS temperature where available; regional temperature products where available	Warm & Warm-transitional		0		0.29	78.8	0.3		0.69		0.7	69.8	1		
Summer Average	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		Minnesota SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	Minnesota SQT; USGS NWIS temperature where available; regional temperature products where available		25	0		0.29	18	0.3		0.69	14	0.7	10	1		
Canopy Cover	Detailed	Light & thermal regime	Field canopy measurements (densiometer/hemispherical photo) and/or LiDAR/imagery-derived canopy cover.		Minnesota SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Riparian canopy cover that controls shading and thermal/light regime in the channel.	"Context: Riparian/Channel
Method: Field and/or Desktop"	Measure percent canopy cover over the channel and near banks along the reach; score using SQT thresholds for the appropriate region/vegetation setting.	Minnesota SQT; Canopy measurement methods; LiDAR canopy products where available	Woody vegetation is a natural component of riparian zone	50	0		0.29		0.3		0.69		0.7	80	1		
Canopy Cover	Detailed	Light & thermal regime	Field canopy measurements (densiometer/hemispherical photo) and/or LiDAR/imagery-derived canopy cover.		Minnesota SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Riparian canopy cover that controls shading and thermal/light regime in the channel.	"Context: Riparian/Channel
Method: Field and/or Desktop"	Measure percent canopy cover over the channel and near banks along the reach; score using SQT thresholds for the appropriate region/vegetation setting.	Minnesota SQT; Canopy measurement methods; LiDAR canopy products where available	Woody vegetation is not a natural component of riparian zone	80	0		0.29		0.3		0.69		0.7	50	1		
Canopy Coverage	Detailed	Light & thermal regime	Field canopy measurements (densiometer/hemispherical photo) and/or LiDAR/imagery-derived canopy cover.		North Carolina SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Riparian canopy cover that controls shading and thermal/light regime in the channel.	"Context: Riparian/Channel
Method: Field and/or Desktop"	Measure percent canopy cover over the channel and near banks along the reach; score using SQT thresholds for the appropriate region/vegetation setting.	North Carolina SQT; Canopy measurement methods; LiDAR canopy products where available		0	0		0.29	25	0.3		0.69	61	0.7	90.54	1		
Summer Daily Maximum (°F)	Detailed	Light & thermal regime	Continuous temperature logger, spot measurements, and/or monitoring databases.		North Carolina SQT	Shade, solar input, and groundwater keep temperature and light within natural ranges for metabolism and dissolved oxygen.	Thermal condition (maximum or weekly average temperature) used to assess heat stress risk and habitat suitability.	"Context: Channel
Method: Field (logger) and/or Desktop (data compilation)"	Deploy temperature logger (or compile existing records) over summer season; compute statistic (daily max, MWAT, July mean) and score against stratified thresholds.	North Carolina SQT; USGS NWIS temperature where available; regional temperature products where available	Coldwater	77	0		0.29		0.3		0.69	64	0.7	58	1		
