Indicator	Observation	Criteria	Sentiment
carbon-processing-cpom-retention	Stable leaf packs lodged behind wood and in low-velocity pockets along most of the reach	Abundant CPOM retention and multiple debris accumulations typical for forested systems	++
carbon-processing-cpom-retention	Leaf packs present but many flush out after moderate storms	Some retention with partial flushing	+
carbon-processing-cpom-retention	Only scattered leaves on bars or in eddies. Bed often scoured clean	Sparse organic matter and limited retention	-
carbon-processing-cpom-retention	Bed largely bare with thin organic film or black, anoxic conditions	No effective retention or severe overload causing anoxia	--
carbon-processing-detritus-decomposition-rate	Leaf packs break down quickly with softening and visible fungal growth. Kick sample includes several shredder taxa	Fast breakdown with strong biological processing and multiple shredder groups present	++
carbon-processing-detritus-decomposition-rate	Moderate softening of leaves with some fungal growth. One or two shredder groups present at low abundance	Intermediate breakdown with partial shredder presence	+
carbon-processing-detritus-decomposition-rate	Little change to leaf material after several weeks. Packs often coated in silt. Assemblage mostly tolerant collectors and grazers	Slow breakdown with few or no active shredders	-
carbon-processing-detritus-decomposition-rate	No noticeable mass loss. Strong odor or anoxic conditions. No shredders in a reach where they are expected	Very slow breakdown and absence of shredder taxa in suitable habitat	--
carbon-processing-riparian-corridor-width-quality	Continuous native trees and shrubs on both banks at about 30 m or more	Approximately >= 30 m native buffer. Diverse structure	++
carbon-processing-riparian-corridor-width-quality	Mostly vegetated but interrupted by lawns or crossings. About 15-30 m	15-30 m with partial native cover	+
carbon-processing-riparian-corridor-width-quality	Narrow grass strip or mowed edges. About 5-15 m	5-15 m and limited native diversity	-
carbon-processing-riparian-corridor-width-quality	Cropland, pavement, or fill to the top of bank. Less than 5 m	< 5 m or essentially no corridor	--
carbon-processing-shredder-detritivore-presence	Leaf packs break down quickly with softening and visible fungal growth. Kick sample includes several shredder taxa	Fast breakdown with strong biological processing and multiple shredder groups present	++
carbon-processing-shredder-detritivore-presence	Moderate softening of leaves with some fungal growth. One or two shredder groups present at low abundance	Intermediate breakdown with partial shredder presence	+
carbon-processing-shredder-detritivore-presence	Little change to leaf material after several weeks. Packs often coated in silt. Assemblage mostly tolerant collectors and grazers	Slow breakdown with few or no active shredders	-
carbon-processing-shredder-detritivore-presence	No noticeable mass loss. Strong odor or anoxic conditions. No shredders in a reach where they are expected	Very slow breakdown and absence of shredder taxa in suitable habitat	--
nutrient-cycling-denitrification-potential-visual	Connected floodplain wetlands with hydric soils and backwater pockets.	Strong potential with frequent seasonal saturation	++
nutrient-cycling-denitrification-potential-visual	Some wet pockets. Channel partly disconnected from floodplain.	Moderate potential	+
nutrient-cycling-denitrification-potential-visual	Limited wetland area. Bankfull rarely overtops.	Low potential	-
nutrient-cycling-denitrification-potential-visual	No wetlands. Floodplain ditched or tile drained.	Negligible potential	--
nutrient-cycling-do-fluctuation	DO readings consistently above 6 mg/L. No recorded night-time dips.	> 6 mg/L consistently.	++
nutrient-cycling-do-fluctuation	DO commonly 5-6 mg/L in late summer.	5-6 mg/L borderline.	+
nutrient-cycling-do-fluctuation	Night minima 3-5 mg/L during warm periods.	3-5 mg/L frequent stress.	-
nutrient-cycling-do-fluctuation	DO dips below 3 mg/L and fish stress observed.	< 3 mg/L dangerously low.	--
nutrient-cycling-n-p-concentrations-surrogates	TN ~0.5 mg/L and TP ~0.03 mg/L.	Near low to moderate trophic benchmarks	++
nutrient-cycling-n-p-concentrations-surrogates	TN ~0.7-1.0 mg/L or TP ~0.05-0.075 mg/L.	Slightly elevated nutrients	+
nutrient-cycling-n-p-concentrations-surrogates	TN ~1.0-1.5 mg/L or TP ~0.075-0.10 mg/L.	Marked elevation	-
nutrient-cycling-n-p-concentrations-surrogates	TN > 1.5 mg/L or TP > 0.10 mg/L.	Strong enrichment	--
nutrient-cycling-vegetated-riparian-corridor-width	Continuous native forest buffer on both banks.	>= ~30 m width per bank	++
nutrient-cycling-vegetated-riparian-corridor-width	Mostly vegetated buffer with gaps.	~15-30 m	+
nutrient-cycling-vegetated-riparian-corridor-width	Narrow buffer with frequent breaks.	~5-15 m	-
nutrient-cycling-vegetated-riparian-corridor-width	Cropped or paved to bank edge.	< ~5 m	--
nutrient-cycling-visible-algal-indications-n-p	Cobble substrate mostly clean. Thin biofilm only.	< 10% benthic algal cover	++
nutrient-cycling-visible-algal-indications-n-p	Thin green filaments on stones in patches.	~10-30% cover	+
nutrient-cycling-visible-algal-indications-n-p	Mats cover about one third to one half of riffles.	~30-50% cover	-
nutrient-cycling-visible-algal-indications-n-p	Thick mats and surface scum on most substrate.	> 50% cover or nuisance mats	--
water-and-soil-quality-bank-floodplain-soil-condition	Intact native soils and vegetation. No odors or staining.	Natural soils. No contamination indicators.	++
water-and-soil-quality-bank-floodplain-soil-condition	Small dump pile or localized manure near a crossing.	Minor dumping or localized inputs.	+
water-and-soil-quality-bank-floodplain-soil-condition	Stained soils and debris on banks near former industrial area.	Known moderate contamination.	-
water-and-soil-quality-bank-floodplain-soil-condition	Strong petroleum odor, visible seepage, or listed hazardous site on the floodplain.	Highly contaminated soils.	--
water-and-soil-quality-dissolved-oxygen	DO readings consistently above 6 mg/L. No recorded night-time dips.	> 6 mg/L consistently.	++
water-and-soil-quality-dissolved-oxygen	DO commonly 5-6 mg/L in late summer.	5-6 mg/L borderline.	+
water-and-soil-quality-dissolved-oxygen	Night minima 3-5 mg/L during warm periods.	3-5 mg/L frequent stress.	-
water-and-soil-quality-dissolved-oxygen	DO dips below 3 mg/L and fish stress observed.	< 3 mg/L dangerously low.	--
water-and-soil-quality-ph-and-conductivity-rapid	pH 7.4. Specific conductance 250 uS/cm.	pH ~6.5-8.5 and cond. < 500 uS/cm typical.	++
water-and-soil-quality-ph-and-conductivity-rapid	pH 6.3 or 8.7 with otherwise stable chemistry.	Slightly off-range or mild elevation.	+
water-and-soil-quality-ph-and-conductivity-rapid	pH 5.8 or 9.2. Conductivity ~1000 uS/cm.	Marked deviation or 800-1500 uS/cm.	-
water-and-soil-quality-ph-and-conductivity-rapid	pH 4.8 or 10.2. Conductivity > 2000 uS/cm.	Extreme pH or very high conductance.	--
water-and-soil-quality-toxic-pollutants-visual-odor	No oily sheen, staining, or chemical odor. Soils appear natural and intact. No impairment listings.	No visible contamination indicators or known exceedances.	++
water-and-soil-quality-toxic-pollutants-visual-odor	Occasional faint odor near a storm outfall or small dump pile on the floodplain.	Minor localized inputs or mild odor only.	+
water-and-soil-quality-toxic-pollutants-visual-odor	Stained soils, debris, or chemical odor near developed or industrial areas. Located downstream of a listed contaminated site.	Recognized contamination risk or known moderate contamination.	-
water-and-soil-quality-toxic-pollutants-visual-odor	Strong odor, visible seepage, or listed hazardous site on the floodplain. Fish kill reports on record.	Severe or chronic contamination.	--
water-and-soil-quality-water-clarity-turbidity	Water is clear at baseflow and similar to a local reference reach. Bottom is visible at knee depth.	Mostly clear or only slightly cloudy at baseflow.	++
water-and-soil-quality-water-clarity-turbidity	Slight yellow-brown tint after storms that clears within a day.	Slight turbidity or color that is short-lived.	+
water-and-soil-quality-water-clarity-turbidity	Cloudy water persists during baseflow. Fine sediment coats substrate.	Persistent cloudiness at baseflow.	-
water-and-soil-quality-water-clarity-turbidity	Chronically muddy water. Visible oily sheen or scum in slack water.	Persistently muddy or sheen present.	--
habitat-provision-aquatic-invertebrate-habitat	Stable cobble riffles with gravel pockets, root wads, leaf packs, and scattered wood.	Multiple stable substrates and organic cover supporting diverse invertebrates.	++
habitat-provision-aquatic-invertebrate-habitat	Cobble and gravel with some roots or wood. Fines cover parts of the bed.	Some substrate variety but partly limited by fines.	+
habitat-provision-aquatic-invertebrate-habitat	Mostly mobile sand or silt with little wood or leaf packs.	Limited stable substrate and few microhabitats.	-
habitat-provision-aquatic-invertebrate-habitat	Uniform sand, silt, or bedrock. No wood, leaf packs, or root structure.	Very poor substrate variety and minimal invertebrate habitat.	--
habitat-provision-in-stream-habitat-complexity	Riffles, runs, pools, and large wood recur across the reach.	Multiple habitat types well represented.	++
habitat-provision-in-stream-habitat-complexity	Riffle and run common. Pools intermittent. Sparse cover.	Some variety but missing key elements.	+
habitat-provision-in-stream-habitat-complexity	Long uniform glide or sand bed with occasional shallow run.	Mostly uniform. Only 1-2 distinct features.	-
habitat-provision-in-stream-habitat-complexity	Straight, entrenched, uniform channel with little cover.	Very uniform channel. Limited structural diversity.	--
habitat-provision-lateral-off-channel-habitats	Side channels and backwaters connect during seasonal highs. Fish and amphibian use observed.	Well connected off-channel areas offering refuge and spawning.	++
habitat-provision-lateral-off-channel-habitats	One or two backwaters with partial seasonal connection.	Some partial connection.	+
habitat-provision-lateral-off-channel-habitats	Small depressions connect only during rare floods.	Rare or only ephemeral off-channel usage.	-
habitat-provision-lateral-off-channel-habitats	Levees or berms isolate the channel from the floodplain.	No side channels or backwaters remain.	--
habitat-provision-substrate-microhabitat-diversity	Riffles, runs, pools, and large wood recur across the reach.	Multiple habitat types well represented.	++
habitat-provision-substrate-microhabitat-diversity	Riffle and run common. Pools intermittent. Sparse cover.	Some variety but missing key elements.	+
habitat-provision-substrate-microhabitat-diversity	Long uniform glide or sand bed with occasional shallow run.	Mostly uniform. Only 1-2 distinct features.	-
habitat-provision-substrate-microhabitat-diversity	Straight, entrenched, uniform channel with little cover.	Very uniform channel. Limited structural diversity.	--
habitat-provision-undercut-banks-overhanging-veg	Thick root mats and overhanging shrubs along outside bends.	About 50% or more of banks provide undercut or overhanging cover.	++
habitat-provision-undercut-banks-overhanging-veg	Intermittent undercuts and low branches in meanders.	About 25-50% cover.	+
habitat-provision-undercut-banks-overhanging-veg	Short isolated undercut pockets. Many bare or armored banks.	About 10-25% cover.	-
habitat-provision-undercut-banks-overhanging-veg	Banks straight and hardened. Little to no overhanging vegetation.	<10% cover.	--
population-support-juvenile-refuge-cover	Clean gravels with open spaces and many shallow pockets, wood, and vegetation.	Embeddedness 0-25 percent; over 40 percent shallow, low-velocity cover.	++
population-support-juvenile-refuge-cover	Light sand on riffles; scattered wood and bank cover.	Embeddedness 25-50 percent; about 20-40 percent shallow, low-velocity cover.	+
population-support-juvenile-refuge-cover	Gravels embedded with silt; few bank pockets or calm margins.	Embeddedness 50-75 percent; about 5-20 percent shallow, low-velocity cover.	-
population-support-juvenile-refuge-cover	Bed mostly sand or silt; no pockets or structural cover.	Embeddedness >=75 percent; less than 5 percent shallow, low-velocity cover.	--
population-support-amphibian-crayfish-presence	Multiple frogs, salamanders, and crayfish observed.	Presence aligns with reference expectations.	++
population-support-amphibian-crayfish-presence	A few individuals observed.	Limited presence.	+
population-support-amphibian-crayfish-presence	One or two sightings only.	Rare occurrence.	-
population-support-amphibian-crayfish-presence	None detected during suitable season.	Absent where historically expected.	--
population-support-aquatic-invertebrate-community	Mayflies, stoneflies, and caddisflies found in kick sample.	All three EPT orders present with multiple taxa.	++
population-support-aquatic-invertebrate-community	Two of three EPT orders present.	Two EPT orders present.	+
population-support-aquatic-invertebrate-community	Only one EPT order present.	One EPT order present.	-
population-support-aquatic-invertebrate-community	No EPT. Mostly tolerant midges and worms.	Zero EPT orders present.	--
population-support-fish-presence-abundance	Several native species across many sizes.	Multiple native species with broad size classes.	++
population-support-fish-presence-abundance	Two to three natives; sizes limited.	Few natives with partial size classes.	+
population-support-fish-presence-abundance	Only tolerant species present in low numbers.	One to two tolerant species dominate.	-
population-support-fish-presence-abundance	No fish detected where expected.	Absent or only non-native species present.	--
population-support-recruitment-success-young-of-year	Several native species across many sizes.	Multiple native species with broad size classes.	++
population-support-recruitment-success-young-of-year	Two to three natives; sizes limited.	Few natives with partial size classes.	+
population-support-recruitment-success-young-of-year	Only tolerant species present in low numbers.	One to two tolerant species dominate.	-
population-support-recruitment-success-young-of-year	No fish detected where expected.	Absent or only non-native species present.	--
population-support-spawning-substrate	Clean gravels with open spaces and many shallow pockets, wood, and vegetation.	Embeddedness 0-25 percent; over 40 percent shallow, low-velocity cover.	++
population-support-spawning-substrate	Light sand on riffles; scattered wood and bank cover.	Embeddedness 25-50 percent; about 20-40 percent shallow, low-velocity cover.	+
population-support-spawning-substrate	Gravels embedded with silt; few bank pockets or calm margins.	Embeddedness 50-75 percent; about 5-20 percent shallow, low-velocity cover.	-
population-support-spawning-substrate	Bed mostly sand or silt; no pockets or structural cover.	Embeddedness >=75 percent; less than 5 percent shallow, low-velocity cover.	--
community-dynamics-aquatic-invertebrate-community	Mayflies, stoneflies, and caddisflies found in kick sample.	All three EPT orders present with multiple taxa.	++
community-dynamics-aquatic-invertebrate-community	Two of three EPT orders present.	Two EPT orders present.	+
community-dynamics-aquatic-invertebrate-community	Only one EPT order present.	One EPT order present.	-
community-dynamics-aquatic-invertebrate-community	No EPT. Mostly tolerant midges and worms.	Zero EPT orders present.	--
community-dynamics-beaver-presence	Beaver, mussels, or crayfish common where expected.	Expected keystone taxa widespread. No invasive dominance.	++
community-dynamics-beaver-presence	Some keystone species present but patchy.	At least one keystone taxon present but limited distribution.	+
community-dynamics-beaver-presence	Keystone species observed only in small numbers.	Keystone taxa rare compared to reference or historical levels.	-
community-dynamics-beaver-presence	Expected keystone species absent. Invasives common.	No keystone taxa present. Strong invasive dominance.	--
community-dynamics-functional-trophic-groups	Many species across several feeding groups.	High richness. Balanced feeding groups. Good index score.	++
community-dynamics-functional-trophic-groups	Several species present. Some groups missing.	Moderate richness. Some imbalance in feeding groups.	+
community-dynamics-functional-trophic-groups	Few species. One or two groups dominate.	Low richness. Dominance by tolerant taxa or single group.	-
community-dynamics-functional-trophic-groups	Very few species. Mostly tolerant taxa.	Extremely low richness and diversity. Poor index score.	--
community-dynamics-invasive-non-native-check	Native fish and invertebrates common. Very few non natives seen.	Native community matches reference. Non natives rare and low abundance.	++
community-dynamics-invasive-non-native-check	Most natives present. Some sensitive species missing.	Minor native loss. Non natives present but natives still dominant.	+
community-dynamics-invasive-non-native-check	Many sensitive natives gone. Non natives frequent.	Noticeable native decline. Non natives common or co-dominant.	-
community-dynamics-invasive-non-native-check	Only tolerant or non native species observed.	Natives rare or absent. Community dominated by tolerant or invasive taxa.	--
community-dynamics-keystone-species-presence	Beaver, mussels, or crayfish common where expected.	Expected keystone taxa widespread. No invasive dominance.	++
community-dynamics-keystone-species-presence	Some keystone species present but patchy.	At least one keystone taxon present but limited distribution.	+
community-dynamics-keystone-species-presence	Keystone species observed only in small numbers.	Keystone taxa rare compared to reference or historical levels.	-
community-dynamics-keystone-species-presence	Expected keystone species absent. Invasives common.	No keystone taxa present. Strong invasive dominance.	--
community-dynamics-macroinvertebrate-taxa-richness	Many species across several feeding groups.	High richness. Balanced feeding groups. Good index score.	++
community-dynamics-macroinvertebrate-taxa-richness	Several species present. Some groups missing.	Moderate richness. Some imbalance in feeding groups.	+
community-dynamics-macroinvertebrate-taxa-richness	Few species. One or two groups dominate.	Low richness. Dominance by tolerant taxa or single group.	-
community-dynamics-macroinvertebrate-taxa-richness	Very few species. Mostly tolerant taxa.	Extremely low richness and diversity. Poor index score.	--
community-dynamics-native-species-presence	Native fish and invertebrates common. Very few non natives seen.	Native community matches reference. Non natives rare and low abundance.	++
community-dynamics-native-species-presence	Most natives present. Some sensitive species missing.	Minor native loss. Non natives present but natives still dominant.	+
community-dynamics-native-species-presence	Many sensitive natives gone. Non natives frequent.	Noticeable native decline. Non natives common or co-dominant.	-
community-dynamics-native-species-presence	Only tolerant or non native species observed.	Natives rare or absent. Community dominated by tolerant or invasive taxa.	--
community-dynamics-riparian-buffer-width	Continuous native trees, shrubs, and groundcover.	Wide, intact native corridor with minimal invasives.	++
community-dynamics-riparian-buffer-width	Mostly vegetated corridor with some gaps.	Moderate width and structure. Some invasive patches present.	+
community-dynamics-riparian-buffer-width	Thin or patchy vegetation along banks.	Narrow corridor. Fragmented native cover with common invasives.	-
community-dynamics-riparian-buffer-width	Little native vegetation. Banks mostly lawn or invasives.	Corridor very narrow or absent. Native plants largely missing.	--
watershed-connectivity-dewatered-intermittent-segments	Continuous wetted channel during the expected season. No artificial withdrawals noted.	No artificial dryness. Natural connectivity is maintained.	++
watershed-connectivity-dewatered-intermittent-segments	Short dry patches appear during late season but reconnect after small rains.	Minor dryness in small segments.	+
watershed-connectivity-dewatered-intermittent-segments	Long dry segments form in critical habitat areas during the growing season.	Notable dryness or disconnection in key reaches.	-
watershed-connectivity-dewatered-intermittent-segments	Reaches are chronically dewatered or disconnected for long periods due to withdrawals or diversions.	Chronic or large-scale dewatering. Major fragmentation.	--
watershed-connectivity-lateral-connectivity-for-riparian-fauna	Banks are free of continuous levees or walls. Side channels and backwaters are accessible.	No major levees or walls. Free lateral movement for semiaquatic fauna.	++
watershed-connectivity-lateral-connectivity-for-riparian-fauna	Short levee segments occur, but frequent gaps allow movement to wetlands.	Some partial barriers but still some access.	+
watershed-connectivity-lateral-connectivity-for-riparian-fauna	Long levees or ripraped banks on one side limit access to the floodplain in many places.	Large levees hamper movement in many areas.	-
watershed-connectivity-lateral-connectivity-for-riparian-fauna	Both banks armored or walled for long distances. Few or no access points.	Heavily walled or leveed corridor. Minimal lateral connectivity.	--
watershed-connectivity-culvert-road-crossing-passability	Crossings are embedded and aligned with natural bed. No outlet drops.	80-100% stream continuity at crossings.	++
watershed-connectivity-culvert-road-crossing-passability	Most crossings passable. A few show minor outlet drops or smooth barrels.	About 50-80% passable.	+
watershed-connectivity-culvert-road-crossing-passability	Several perched culverts and steep barrels concentrate flow and block passage.	About 20-50% passable.	-
watershed-connectivity-culvert-road-crossing-passability	Many perched pipes and long smooth boxes with no bed material.	<20% passable. Multiple perched culverts hamper movement.	--
watershed-connectivity-upstream-downstream-barriers	No dams or weirs within the connected corridor. Only small natural steps that fish pass at typical flows.	80-100% of habitat accessible. No major barriers.	++
watershed-connectivity-upstream-downstream-barriers	One small low-head structure downstream with partial passage at moderate flows.	About 50-80% accessible.	+
watershed-connectivity-upstream-downstream-barriers	Several small barriers in series restrict movement across subreaches.	About 20-50% accessible.	-
watershed-connectivity-upstream-downstream-barriers	Large regulating dam close to the reach with multiple downstream grade controls.	<20% accessible due to big dams or multiple blockages.	--
