Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Optimal	Suboptimal	Marginal	Poor	References
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Meander cutoffs or avulsions	Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery.		Channel	Desktop	Compile an imagery time series to map cutoff and avulsion locations and summarize frequency over decades.	Rare or slow cutoffs consistent with long-term references.	Occasional cutoffs but not drastically more frequent than normal.	Multiple cutoffs over recent decades suggesting partial instability.	Frequent or large-scale avulsions or cutoffs indicating severe instability or artificial triggers.	USGS EarthExplorer imagery time series; NAIP and Google Earth historical imagery.
Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Braiding or multi-thread condition	Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability.		Channel	Desktop	Count active threads at observed stage and compare to expected channel type. Use a DEM to corroborate bar and corridor patterns.	Condition aligns with local reference for the stream type.	Slight departure from reference condition.	Moderate braiding where not typical, or loss of braiding where it is typical.	Heavily braided from instability, or forced single-thread where braiding is expected.	NAIP or orthophotos; USGS 3DEP LiDAR DEM (where available).
Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Sediment supply	Fine input aligns with transport, unless higher turbidity/fines are historically normal (e.g., blackwater).	Yes	Watershed	Desktop	Combine slope, soils, land cover, and roads in GIS to estimate relative sediment supply and delivery risk to the channel network.	Low predicted sediment supply and delivery risk relative to similar watersheds in the region.	Low to moderate predicted sediment supply and delivery risk.	Moderate to high predicted sediment supply and delivery risk.	Very high predicted sediment supply and delivery risk with likely chronic instability.	MN SQT 2020; WY SQT 2019; CO SQT 2019; SC SQT 2021; WI SQT 2022; DEM slope, SSURGO soils, and roads/land cover layers.
Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Transport capacity	Flow/slope balance incoming sediment, avoiding major bars or deep scour, unless imbalance is historically normal.		Channel	Desktop	Screen stream power using discharge and slope and compare with observed bars or scour. Detailed transport modeling is beyond screening.	No major bar buildup or scour. Sediment load appears balanced for channel type.	Slight mismatch with minor deposition or scour.	Noticeable over or under capacity in channel sections.	Widespread bar formation or deep scouring indicating severe imbalance.	USGS StreamStats flow statistics (where available); NHDPlus HR slope; NAIP imagery for bar validation.
Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Fine sediment balance	Fine input aligns with transport, unless higher turbidity/fines are historically normal (e.g., blackwater).		Channel	Field	Review available turbidity or TSS data and visually assess bed fines. Where data are absent, infer risk from land use and soils.	Low chronic turbidity and minimal fines, or regionally normal conditions.	Minor silt layers or partial turbidity.	High turbidity or moderate silt coverage.	Severe siltation or turbidity that smothers substrate.	EPA Water Quality Portal (turbidity/TSS); USGS NWIS (where available); NLCD land cover; SSURGO K-factor (erodibility).
Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Sediment deposition patterns	Deposition matches natural form, no severe bar formation beyond typical references.		Channel	Field	Delineate bar types (point, mid-channel, lateral) and compare to expected morphology for the channel type.	Deposition pattern fits reference condition with stable point bars.	Some mid-channel or side bars forming but not severely altering flow.	Extensive mid-channel bars with partial obstruction.	Widespread choking deposits that strongly affect channel form and habitat.	NAIP or orthophotos; LiDAR bare-earth DEM (where available).
Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Channel degradation	Bed is stable, with no active incision disconnecting floodplain unless minor incision is normal.		Channel	Field	Extract cross sections from LiDAR or survey data to compare bed elevation to the floodplain and locate active headcuts.	No active downcutting. Bed elevation is stable.	Minor localized incision.	Noticeable incision or one or two moderate headcuts that reduce floodplain access.	Severe channel-wide incision with multiple major headcuts.	USGS 3DEP LiDAR cross sections and hillshade; repeat DEMs where available.
Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Visual bed composition	Combines substrate size distribution, embeddedness, and consolidation or armoring to assess pore space and habitat quality.	Yes	Channel	Field	Visually classify dominant substrate along the reach (bedrock, boulder, cobble, gravel, sand, silt or clay) and note the relative amount of fines and embedding.	Bed composition matches expectations for the stream type with open interstitial space where coarse substrate is expected.	Minor departure from expected composition or mild fine cover.	Strong departure from expected composition, or widespread fine cover and embedding in coarse-bed settings.	Bed is dominated by fines or is heavily embedded or sealed, indicating poor habitat and limited exchange.	Barbour et al. (1999); SVAP v2 (2018).
Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Embeddedness or fines	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.		Channel	Field	Estimate percent of coarse grains buried by fines during a field visit.	<25% embedded. Coarse substrate remains open.	25-50% embedded.	50-75% embedded.	>75% embedded. Voids are largely filled.	Field embeddedness estimate; EPA Water Quality Portal (turbidity/TSS); assessment listings for sediment (where available).
Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Bedform diversity	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.		Channel	Field	Count presence of riffle, run, pool, or step-pool units and note whether sequences are intact.	Clear riffle-pool or step-pool sequence with robust variety.	Some diversity but partially uniform.	Mostly homogeneous bed with faint or missing sequences.	Flattened or artificially uniform bed.	Field habitat mapping; high-resolution imagery; planform metrics (for example sinuosity) as supporting context.
Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Substrate consolidation or armoring	Combines substrate size distribution, embeddedness, and consolidation or armoring to assess pore space and habitat quality.		Channel	Field	Use a pick test or visual checks to identify surface crusting, cementing, or heavy armoring.	Little to no cementing. Substrate can be individually moved.	Some consolidation but still breakable.	Strong bonding with interstitial spaces mostly filled.	Severe crusting or heavy armor with minimal infiltration or habitat.	Field pick test or visual checks; document as data gap where field access is limited.
Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Bed surface grain size (pebble count)	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.		Channel	Field	Perform a pebble count to estimate percent gravel and cobble versus fines.	Open interstitial coarse bed with minimal fines.	Mild embedding or partial fine coverage.	Strong embedding or siltation limiting infiltration.	Predominantly fine or consolidated bed with little interstitial space.	Field pebble count; USGS or state surficial geology; high-resolution imagery for bar texture classes (where available).
Physicochemistry	Light and thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Percent forested land cover in watershed	Shade is sufficient for this stream type, matching historical conditions unless naturally open.	Yes	Watershed	Desktop	Quantify percent forest cover and canopy cover using land cover or tree canopy layers. Where possible, summarize within a riparian buffer to better represent shading.	High canopy cover, often 75-100% shade in shaded systems, or consistent with reference for the region.	Moderate canopy cover, often 50-75% shade.	Low canopy cover, often 25-50% shade.	Very low canopy cover, often <25% shade where shading is expected.	MN SQT 2020; SC SQT 2021; WI SQT 2022; NLCD Land Cover and/or NLCD Tree Canopy Cover.
Physicochemistry	Light and thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Stream temperature	Stays within acceptable bounds for local aquatic life, rarely exceeding stress thresholds.	Channel	Field	Use continuous or spot water-temperature records to assess maxima and diel range. Use modeled products where monitoring data are absent.	Rarely surpasses local standard or typical seasonal maxima for the stream type.	Slightly exceeds thresholds occasionally.	Frequently near or above thresholds.	Consistently high or potentially lethal temperatures.	USGS NWIS and/or EPA Water Quality Portal water temperature data (where available); NorWeST modeled temperatures (where available).	
Physicochemistry	Light and thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Thermal refugia	Springs or deeper pools temper extremes, unless large daily swings are historically normal (arid ephemeral).		Channel	Field	Locate cooler pockets or deeper pools using a field temperature check or loggers where available.	Multiple cooler pockets or deeper pools provide refugia during warm periods.	One or two minor refuges.	Rare or minimal cooler zones.	No refugia where expected. High thermal stress risk.	Field IR gun or loggers; mapped springs/seeps and baseflow indices (where available).
Physicochemistry	Light and thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Algal growth	Moderate growth matches local light regime, unless historically high/low (e.g., blackwater).		Channel	Field	Estimate percent algal cover or use chlorophyll or periphyton data where available and interpret with nutrients and shade context.	Minimal algae and no nuisance mats.	Slightly elevated algal coverage.	Large mats that partially impair habitat.	Dense bloom or scum that covers substrate.	EPA Water Quality Portal (chlorophyll-a, periphyton where available); TN/TP datasets; riparian canopy or shade metrics.
Physicochemistry	Carbon processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Riparian vegetation or connectivity	Sufficient native vegetation width unless historically narrow (e.g., prairie streams).	Yes	Floodplain	Desktop	Measure riparian corridor width and percent natural vegetation along the banks using land cover or riparian metrics. Field checks can be used to confirm major gaps.	About 30 m of diverse native riparian vegetation, or consistent with reference corridor for the region.	15-30 m corridor or partial coverage.	5-15 m corridor with limited buffer.	<5 m corridor or little to no riparian vegetation.	MN SQT 2020; WY SQT 2019; CO SQT 2019; SC SQT 2021; WI SQT 2022; EPA EnviroAtlas riparian metrics and/or NLCD.
Physicochemistry	Carbon processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	CPOM retention	Leaf litter/coarse organic matter are visibly retained, supporting detrital processes per local references.		Channel	Field	Count leaf packs and small debris dams, or infer retention from wood presence and low-velocity habitat during a field visit.	Abundant CPOM retention with stable leaf packs typical for the system.	Some retention but partially flushed out.	Sparse organic matter and limited retention.	Essentially no retained organic matter, or severe overload causing anoxia risk.	Field observation; wood and habitat assessments; planform complexity from imagery as supporting context.
Physicochemistry	Carbon processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Algal or primary production indicators	Balanced algae/macrophyte growth, no nuisance blooms, unless moderate coverage is historically normal.		Channel	Field	Use chlorophyll or periphyton data where available. If absent, infer risk from nutrients and light conditions.	Balanced growth with no nuisance blooms.	Slightly elevated algae.	Frequent moderate nuisance mats.	Thick blooms or scums that cover substrate.	EPA Water Quality Portal (chlorophyll-a/periphyton where available); nutrient datasets (TN/TP) and shade context.
Physicochemistry	Carbon processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Shredder or detritivore presence	Quick checks show these invertebrates, indicating healthy detrital processing (if typical).		Channel	Field	Conduct a rapid kick sample and note presence of shredder taxa where a CPOM pathway is expected.	Several shredder taxa present where expected.	One or two shredder groups.	Mostly tolerant or non-shredder forms.	No shredders present where historically expected.	State biomonitoring portals and/or EPA Water Quality Portal biological results (where available).
Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Nutrient listing status	Nutrients near natural/guidelines unless higher levels are normal (e.g., blackwater).	Yes	Watershed	Desktop	Check available impairment listings and monitoring summaries for nutrient-related causes or indicators (for example nitrogen, phosphorus, chlorophyll, nuisance algae).	No known nutrient impairment and monitoring does not indicate persistent issues.	Not listed, but limited data or occasional elevated indicators.	Nutrient impairment is documented or listed for part of the reach or assessment unit.	Nutrient impairment is documented or listed with persistent symptoms such as frequent blooms.	EPA ATTAINS; MN MPCA (2022); WY DEQ (2021); CO SQT 2019.
Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	N and P concentrations	Nutrients near natural/guidelines unless higher levels are normal (e.g., blackwater).		Channel	Field	Compile recent total nitrogen and total phosphorus data and compare to regional guidelines. Where data are absent, use watershed export models for context.	Near background or guideline values.	Slightly elevated N or P.	Marked elevation with likely ecological effects.	Significantly above guidelines indicating strong nutrient pollution.	EPA Water Quality Portal (TN/TP); USGS SPARROW nutrient maps (where available).
Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Vegetated riparian corridor width	Sufficient buffer filters nutrients, matching local references.		Floodplain	Desktop	Measure riparian buffer width in GIS along the reach. Verify vegetation in the field where needed.	About 30 m buffer or regionally appropriate dense vegetation.	15-30 m buffer.	5-15 m buffer.	<5 m buffer or no meaningful buffer.	EPA EnviroAtlas riparian metrics; USGS StreamCat; NLCD land cover.
Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Visible algal indications	Algae suggests no excessive nutrients vs reference, unless historically moderate (open canopy).		Channel	Field	Estimate periphyton or algal cover during a field visit and interpret with light and nutrients.	No nuisance algae and <10% cover, or normal for region.	10-30% cover or mild filaments.	30-50% cover with partial blooms.	>50% cover or thick scums.	EPA Water Quality Portal (nutrients and chlorophyll where available); field observations; watershed land cover context (NLCD).
Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Denitrification potential (floodplain wetness)	Adequate floodplain/wetland pockets for denitrification, consistent with local reference.		Floodplain	Field	Assess presence of wet pockets and redox indicators. Use hydric soils and wetlands mapping as a screening proxy.	Strong potential with connected wet areas and soils.	Some wet zones but partially disconnected.	Limited wetland area and moderate export risk.	No wetlands or heavily drained soils with low denitrification potential.	NRCS SSURGO hydric soils; USFWS National Wetlands Inventory (NWI).
Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	DO fluctuation	Daily O2 changes are moderate (<2 mg/L), unless larger swings are normal (warm swamp streams).		Channel	Field	Analyze dissolved oxygen for diurnal swings where continuous data exist. If not, use spot checks and nutrient context as a screening proxy.	<2 mg/L diurnal swing and no frequent hypoxia.	2-4 mg/L swing with occasional stress.	4-6 mg/L swing and borderline low DO at night.	>6 mg/L swing or frequent dips below 3 mg/L.	USGS NWIS continuous dissolved oxygen (where available); state continuous monitoring networks (where available).
Physicochemistry	Water and soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Overall status for aquatic life or use support	Appears acceptable, minimal turbidity matching local reference conditions.	Yes	Watershed	Desktop	Check available impairment listings and monitoring summaries for aquatic life or use support and known stressors for the reach or assessment unit.	Not impaired for aquatic life or use support based on available information.	Some concerns or occasional exceedances, but not listed as impaired.	Impaired for one or two stressors or parameters with moderate severity.	Impaired for multiple stressors or severe, persistent issues.	EPA ATTAINS; MN MPCA (2022); WY DEQ (2021); CO SQT 2019.
Physicochemistry	Water and soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Water clarity or turbidity	Appears acceptable, minimal turbidity matching local reference conditions.		Channel	Field	Measure turbidity using a tube or meter and compare to reference expectations. Supplement with available datasets where present.	Mostly clear and consistent with reference. No obvious pollution.	Slight turbidity or discoloration.	Persistent cloudiness with habitat impacts.	Persistently muddy water or visible sheen indicating severe pollution.	Field turbidity tube or meter; EPA Water Quality Portal (turbidity/TSS where available); assessment listings (where available).
Physicochemistry	Water and soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Dissolved oxygen	DO is high enough (>5-6 mg/L) for aquatic life, unless naturally lower in warm/boggy streams.		Channel	Field	Collect spot DO readings and compile minima from time series where available.	>6 mg/L and no hypoxia.	5-6 mg/L. Borderline.	3-5 mg/L. Frequent stress.	<3 mg/L. High risk of acute impacts.	Field DO meter; USGS NWIS and/or EPA Water Quality Portal (DO where available).
Physicochemistry	Water and soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	pH and conductivity	Values near ~6.5-8.5/local norms, no extreme shift unless naturally acidic (bog) or alkaline (arid).		Channel	Field	Take handheld measurements for pH and specific conductance and compare to local expectations.	pH about 6.5-8.5 and conductance within typical range.	Slightly off-range or mild conductance elevation.	Marked deviation from typical range.	Extreme pH or very high conductance indicating major stress.	Handheld meters; USGS NWIS and/or EPA Water Quality Portal (pH and specific conductance where available).
Physicochemistry	Water and soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Toxic pollutants	No visible sheen or strong odor, consistent with an unpolluted stream.		Channel	Field	Note visible sheen or odor and check available contamination or discharge records. Collect samples only when warranted.	No known exceedances and no visible indicators.	Occasional minor issues or mild odor.	Recognized contamination risk with moderate stress indicators.	Chronic or severe toxin indicators, fish kills, or persistent sheen.	Assessment listings (where available); EPA TRI and EPA ECHO as supporting context.
Physicochemistry	Water and soil quality	Physical and chemical processes limit pollutants, retain beneficial constituents, and protect ecological and human uses.	Bank or floodplain soil condition	No chemical/fecal contamination signs; soils appear natural, no suspicious odors/staining.		Floodplain	Field	Inspect soils for odor or staining and review contaminated-site registries where relevant.	Natural soils with no contamination indicators.	Minor dumping or moderate manure presence.	Known moderate contamination risk.	Highly contaminated soils with strong odor or toxicity indicators.	EPA Cleanups in My Community; state contaminated-sites registries (where available).
Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Channel alteration from imagery	Backwater areas are accessible as nursery/refuge if historically present, unless naturally confined.	Yes	Channel	Desktop	Compare current imagery to historical imagery or maps to estimate percent of reach straightened, ditched, or hardened. Map hardened bank length where visible.	0-10% of reach altered, and banks are predominantly natural.	10-25% altered, or some hardened banks.	25-50% altered, with major loss of natural planform or extensive hardening.	>50% altered, or reach is ditch-like or heavily hardened.	MN SQT 2020; WY SQT 2019; CO SQT 2019; SC SQT 2021; WI SQT 2022; NAIP imagery and historic aerials/maps.
Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	In-stream habitat complexity	Multiple habitat types (riffles/pools/woody debris) exist if historically expected, not unnaturally uniform.		Channel	Field	Count distinct habitat types (riffle, run, pool, cover) along the reach. Use imagery as a screening aid where needed.	Multiple habitat types well represented.	Some variety but key elements are missing.	Mostly uniform with only 1-2 distinct features.	Very uniform channel with limited structural diversity.	EPA Rapid Bioassessment Protocols (RBP); NAIP imagery; USGS 3DEP LiDAR (where available).
Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Undercut banks or overhanging vegetation	Provides shelter unless historically minimal in certain ecoregions.		Channel	Field	Estimate percent of bank length with undercut or overhanging cover during a field visit.	>=50% of banks have undercut or overhanging cover.	25-50%.	10-25%.	<10% or nearly none.	Field mapping; NAIP imagery; canopy and bank metrics where available.
Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Substrate or microhabitat diversity	Varied substrates (gravel, cobble, wood) provide multiple habitats, unless uniform is normal.		Channel	Field	Count substrate classes and note presence of wood, leaf packs, and other cover types.	Three or more substrate classes plus organic pockets.	Two distinct substrate types.	One type dominates with few microhabitats.	Uniform substrate with minimal microhabitats.	USGS NAWQA pebble-count method; habitat mapping; supporting context from imagery and slope.
Biology	Habitat provision	Channel and floodplain structure supply depth, velocity, substrate diversity, and vegetation to support native organisms through all life stages.	Lateral or off-channel habitats	Backwater areas are accessible as nursery/refuge if historically present, unless naturally confined.		Floodplain	Field	Map connected backwaters and side channels and verify likely connection thresholds.	Well connected off-channel areas provide refuge or spawning habitat.	Some partial connection.	Rare or only episodic off-channel use.	No side or backwaters remain despite suitable valley setting.	USGS 3DEP LiDAR; NAIP imagery; FEMA floodplain layers (where available); NHDPlus HR waterbodies/flowlines.
Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Existing macroinvertebrate or fish IBI class	Diverse macroinvertebrates (incl. EPT) if historically expected, unless ephemeral dryness limits.	Yes	Channel	Desktop	Compile the most recent macroinvertebrate or fish IBI score or class from state or local databases for the reach or nearest station.	IBI class is Excellent or Good, or equivalent high condition category.	IBI class is Good-Fair or slightly below reference.	IBI class is Fair or impaired.	IBI class is Poor or severely impaired.	CO SQT 2019; MI SQT 2019; MN SQT 2020; NC SQT 2019; WI SQT 2022; WY SQT 2019; state biomonitoring databases.
Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Aquatic invertebrate community	Diverse macroinvertebrates (incl. EPT) if historically expected, unless ephemeral dryness limits.		Channel	Field	Collect a rapid kick sample and summarize EPT richness or other screening indicators.	Multiple sensitive groups present.	Moderate diversity with some tolerant forms.	Mostly tolerant forms and limited EPT presence.	Very few invertebrates or only extremely tolerant forms.	State biomonitoring protocols; USGS BioData and/or EPA Water Quality Portal biological results (where available).
Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Spawning substrate	Clean gravel/vegetation is present if historically expected, unless alternative spawning is normal.		Channel	Field	Assess percent of clean gravel or other suitable spawning substrate for target species and note fine sediment cover.	Clean or appropriate substrate with minimal silt.	Some silt but still feasible for spawning.	Heavily silted with limited spawning success expected.	No suitable substrate. High embeddedness, bedrock, or other limiting condition.	Field substrate assessment; EPA Water Quality Portal (turbidity/TSS where available); geology and slope context.
Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Juvenile refuge	Sufficient cover (wood, undercuts, veg) for recruitment/survival if historically expected.		Channel	Field	Estimate percent of reach with shallow, low-velocity cover usable as juvenile refuge.	More than 40% of reach has adequate juvenile cover.	20-40% cover.	5-20% cover.	<5% cover or none.	Field mapping; hydrograph context (USGS NWIS where available); NAIP imagery as supporting context.
Biology	Population support	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Amphibian or crayfish presence	Healthy numbers if historically supported, unless ephemeral dryness naturally excludes them.		Channel	Field	Conduct a brief visual or dipnet survey and record presence where expected.	Multiple observations where historically expected.	Some presence but limited.	Rare or single individuals.	Absent where historically expected.	State Natural Heritage Program records; Herp Atlas or similar; BISON and/or iNaturalist as supporting context.
Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Impervious cover	Most historically native fish/inverts remain, unless naturally low-diversity (headwaters, ephemeral).	Yes	Watershed	Desktop	Delineate the watershed and compute percent impervious area from an impervious-surface raster (for example NLCD Impervious Surface).	<5% impervious. Low watershed stress.	5-10% impervious.	10-20% impervious.	>20% impervious. High watershed stress.	MN SQT 2020; SC SQT 2021; NLCD 2019 Impervious Surface (MRLC).
Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Riparian buffer width	~30 m or appropriate for shade/leaf input if historically expected, unless narrower is normal (prairie).		Floodplain	Desktop	Measure riparian buffer width and vegetation structure in GIS along the reach.	About 30 m wide corridor with multi-layer vegetation, or local reference corridor.	15-30 m or partial coverage.	5-15 m with minimal corridor.	<5 m or nearly absent.	EPA EnviroAtlas riparian metrics; USGS StreamCat; NLCD land cover.
Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Invasive or non-native check	Invasives don't dominate if historically native-dominated, unless naturalized species cause minimal impact.		Channel	Field	Query available invasive species databases and summarize presence within the watershed or reach. Confirm key species during a field visit where feasible.	<5% invasive presence.	5-20% invasive presence.	20-50% invasive presence.	>50% invasive presence or one invasive dominates.	USGS Nonindigenous Aquatic Species (NAS); EDDMapS; state invasive species lists.
Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Macroinvertebrate taxa richness	Quick sample shows multiple families (incl. EPT) unless dryness/high-altitude limits diversity.		Channel	Field	Compute major group richness from a kick-net sample or use existing biological records where available.	Four to five or more distinct major groups.	Two to four distinct major groups.	One to two distinct major groups.	Zero, or only one extremely tolerant group.	USGS BioData and/or state biomonitoring datasets; EPA Water Quality Portal biological results (where available).
Biology	Community dynamics	Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance.	Native species presence	Most historically native fish/inverts remain, unless naturally low-diversity (headwaters, ephemeral).		Channel	Field	Compare observed fish and invertebrate lists to available historical records or reference expectations.	Most native taxa expected for the stream type are present.	A few sensitive native taxa are missing.	Several native taxa are absent and tolerant taxa dominate.	Widespread loss of native taxa with invasive or tolerant taxa dominating.	NatureServe Explorer; state Natural Heritage Program lists and records.
Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Aquatic connectivity or fish passage	Floodplain/wetlands accessible for semiaquatic fauna unless steep canyons preclude it.	Yes	Channel and Watershed	Desktop	Inventory barriers and compute percent of network accessible from the reach using network tracing where possible. Note barrier type and location.	80-100% of habitat accessible. No major barriers.	50-80% accessible.	20-50% accessible.	<20% accessible due to major dams or multiple blockages.	MN SQT 2020; WY SQT 2019; CO SQT 2019; SC SQT 2021; WI SQT 2022; National Aquatic Barrier Inventory and/or state fish passage databases.
Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Culvert or road crossing passability	Crossings allow aquatic organism passage, unless perched/undersized culverts are normal.		Channel	Field	Screen stream-road crossings for likely barriers such as outlet drop, slope, or embedment. Prioritize key crossings for measurement.	80-100% passable.	50-80% passable.	20-50% passable.	<20% passable. Multiple barriers.	NAACC (where available); state DOT culvert inventories; Aquatic Barrier Inventory stream crossings; streams x roads GIS intersect.
Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Dewatered or intermittent segments	No artificial dryness in a historically perennial system, unless ephemeral dryness is normal.		Channel	Desktop	Combine multi-date imagery and available flow records to identify dry segments and summarize frequency and extent.	No artificial dryness and natural connectivity is maintained.	Minor dryness in small segments.	Notable dryness or disconnection in key reaches.	Chronic or large-scale dewatering causing major fragmentation.	USGS NWIS zero-flow days (where available); NAIP and Google Earth imagery time series; NHDPlus flow regime codes.
Biology	Watershed connectivity	Continuous pathways for free movement of water, sediment, and organisms supporting recolonization, maintaining species diversity, and enabling recovery.	Lateral connectivity for riparian fauna	Floodplain/wetlands accessible for semiaquatic fauna unless steep canyons preclude it.		Floodplain	Field	Map levees or berms along the corridor and summarize continuous barrier length. Confirm passable gaps where present.	No major levees or walls and free lateral movement.	Some partial barriers with remaining access.	Large levees hamper movement in many areas.	Heavily walled or leveed corridor with minimal lateral connectivity.	National Levee Database (NLD); FEMA floodplain layers (where available); USGS 3DEP LiDAR; local levee GIS (where available).
