indicator_group,epa_short_name,in_2013_2014,2013_2014_dataset_s,2013_2014_epa_definition_s,in_2018_2019,2018_2019_dataset_s,2018_2019_epa_definition_s,in_2023_2024,2023_2024_dataset_s,2023_2024_epa_definition_s,cycle_presence,definition_comparison
Benthic Macroinvertebrates,VISIT_NO,Yes,NRSA 1314 Benthic Macroinvertebrate MMI | NRSA 1314 Benthic Macroinvertebrate Metrics,Number identifying which visit this is,Yes,NRSA 1819 Benthic Macroinvertebrate Count | NRSA 1819 Benthic Macroinvertebrate MMI,Sequential number of visit to site,Yes,NRSA 2324 Benthic Count | NRSA 2324 Benthic Metrics | NRSA 2324 Benthic MMI,Number identifying which visit this is,All three cycles,EPA label differs and/or is blank across cycles
Benthic Macroinvertebrates,VOLTINISM,Yes,NRSA 1314 Benthic Taxa List,Voltinism as assigned by USGS,No,,,No,,,2013–2014 only,Not comparable across cycles
Benthic Macroinvertebrates,WTD_TV,Yes,NRSA 1314 Benthic Macroinvertebrate Metrics,"Hilsenhoff Biotic Index (HBI), sum of TV_i*prop_i, where TV_i=tolerance value for species i and prop_i=proportion of taxon i in sample, based on all taxa in sample",No,,,Yes,NRSA 2324 Benthic Metrics,"Hilsenhoff Biotic Index (HBI), sum of TV_i*prop_i, where TV_i=tolerance value for species i and prop_i=proportion of taxon i in sample, based on all taxa in sample",2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,AG_ECO9,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,"NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions. No missing or \blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Chlorophyll-a,BATCH_ID,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Laboratory Batch ID,2023–2024 only,Not comparable across cycles
Chlorophyll-a,CHLA_BATCH_ID,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Lab batch id - Chlorophyll-a as ug/L in water sample,No,,,2018–2019 only,Not comparable across cycles
Chlorophyll-a,CHLA_DATE_ANALYZED,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_DATE_FILTERED,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_DATE_PROCESSED,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_DATE_RECEIVED,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_DILUTION_FACTOR,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_EXTRACT,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_EXTRACT_VOL,Yes,NRSA 1314 Periphyton Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_HOLD_TIME_FLAG,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_HOLDING_TIME,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_LAB_SAMPLE_ID,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_MDL,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_NARS_FLAG,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_QA_FLAG,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_RESULT,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_RESULT_VOL,Yes,NRSA 1314 Periphyton Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_RL,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_SAMPLE_ID,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_SAMPLEVOL,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_SHIP_FLAG,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_VOLUME_ADJUST,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,CHLA_VOLUME_FILTERED,Yes,NRSA 1314 Periphyton Chlorophyll | NRSA 1314 Water Column Chlorophyll,Chlorophyll a for NA,No,,,No,,,2013–2014 only,Not comparable across cycles
Chlorophyll-a,DATE_ANALYZED,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Date sample analyzed,Yes,NRSA 2324 Periphyton Chlorophyll-a,Date sample analyzed,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,DATE_COL,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Date collected,Yes,NRSA 2324 Periphyton Chlorophyll-a,Date of data collection in field,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,DATE_RECEIVED,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Date sample received,Yes,NRSA 2324 Periphyton Chlorophyll-a,Date sample received,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,DILUTION_FACTOR,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Dilution factor,2023–2024 only,Not comparable across cycles
Chlorophyll-a,EPA_REG,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,"EPA Region. No missing or \blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Chlorophyll-a,EXTRACT,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Amount in extract by volume,2023–2024 only,Not comparable across cycles
Chlorophyll-a,HOLDING_TIME,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Holding time,2023–2024 only,Not comparable across cycles
Chlorophyll-a,LAB,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Laboratory processing sample,Yes,NRSA 2324 Periphyton Chlorophyll-a,Laboratory processing sample,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,LAB_SAMPLE_ID,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Laboratory Sample ID,Yes,NRSA 2324 Periphyton Chlorophyll-a,Laboratory Sample ID,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,MATRIX,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Material used for analysis,Yes,NRSA 2324 Periphyton Chlorophyll-a,"Type of sample (e.g., water, sediment, tissue)",2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,MDL,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Minimum Detection Limit,Yes,NRSA 2324 Periphyton Chlorophyll-a,Minimum Detection Limit,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,NARS_FLAG,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,NARS Flag,Yes,NRSA 2324 Periphyton Chlorophyll-a,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,PCHL_NOT_COLLECTED,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Periphyton chlorophyll a sample not collected,No,,,2018–2019 only,Not comparable across cycles
Chlorophyll-a,PSTL_CODE,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",2023–2024 only,Not comparable across cycles
Chlorophyll-a,PUBLICATION_DATE,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Date the dataset was published to the NARS site,Yes,NRSA 2324 Periphyton Chlorophyll-a,Date of data file publication,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,QA_FLAG,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,QA flag from laboratory,2023–2024 only,Not comparable across cycles
Chlorophyll-a,RESULT,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Value of associated parameter | Result,Yes,NRSA 2324 Periphyton Chlorophyll-a,Value of associated parameter,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,RESULT_UNITS,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Result unit,Yes,NRSA 2324 Periphyton Chlorophyll-a,Result unit,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,RESULT_VOL,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,"Result by volume, before correcting for area sampled",Yes,NRSA 2324 Periphyton Chlorophyll-a,"Result by volume, before correcting for area sampled",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,RESULT_VOL_UNITS,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Units for result by volume (ug/L),Yes,NRSA 2324 Periphyton Chlorophyll-a,Units for result by volume (ug/L),2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,RL,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,"Reporting Limit, units varying",Yes,NRSA 2324 Periphyton Chlorophyll-a,"Reporting Limit, units varying",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,SAM_CODE,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Sample code (Regular/Lab duplicate/Lab split),Yes,NRSA 2324 Periphyton Chlorophyll-a,"Sample code (e.g., regular, lab duplicate, lab split)",2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,SAMPLE_ID,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Periphyton Chlorophyll (PCHL) sample id,2023–2024 only,Not comparable across cycles
Chlorophyll-a,SHIP_FLAG,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Shipping flag,2023–2024 only,Not comparable across cycles
Chlorophyll-a,SITE_ID,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed."" | Identification code for site",Yes,NRSA 2324 Periphyton Chlorophyll-a,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Chlorophyll-a,STATE,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,State,No,,,2018–2019 only,Not comparable across cycles
Chlorophyll-a,UID,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Unique identifier for the site/visit,Yes,NRSA 2324 Periphyton Chlorophyll-a,Unique site visit ID,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,UNIQUE_ID,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,2023–2024 only,Not comparable across cycles
Chlorophyll-a,VISIT_NO,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Sequential number of visit to site,Yes,NRSA 2324 Periphyton Chlorophyll-a,Number identifying which visit this is,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Chlorophyll-a,VOLUME_ADJUST,No,,,No,,,Yes,NRSA 2324 Periphyton Chlorophyll-a,Volume adjustment for analysis,2023–2024 only,Not comparable across cycles
Chlorophyll-a,VOLUME_FILTERED,No,,,Yes,NRSA 1819 Periphyton Chlorophyll-a,Volume filtered,Yes,NRSA 2324 Periphyton Chlorophyll-a,Volume filtered,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,ANALYTE,No,,,Yes,NRSA 1819 Enterococci,Analyte,Yes,NRSA 2324 Enterococci,Analyte,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,BATCH_ID,No,,,Yes,NRSA 1819 Enterococci,Laboratory Batch ID,Yes,NRSA 2324 Enterococci,Laboratory Batch ID,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,COMMENT,No,,,No,,,Yes,NRSA 2324 Enterococci,Descriptive comment.,2023–2024 only,Not comparable across cycles
Enterococci,DATE_COL,Yes,NRSA 1314 Enterococci Indicator,,Yes,NRSA 1819 Enterococci,Date of data collection in field,Yes,NRSA 2324 Enterococci,Date of data collection in field,All three cycles,EPA label differs and/or is blank across cycles
Enterococci,ENT_1X_CCE_100ML,Yes,NRSA 1314 Enterococci Indicator,,Yes,NRSA 1819 Enterococci,"Estimated enterococci CCE / 100 mL of water sample volume from ORD analysis of undiluted DNA extracts and CCE / extract calculations from EPA Method 1609 calculation spreadsheet. CCE are based on 15:1 calibrator target sequence equivalent (CSE) to CCE ratio established for RWQC guideline values. CCE / extract was multiplied by 100 ÷ filtered sample volume to obtain final estimate /100 ml. \QC fail\"" denotes analysis results that did not meet Method 1609 control assay acceptance criteria.""",Yes,NRSA 2324 Enterococci,"Estimated enterococci CCE / 100 mL of water sample volume from ORD analysis of undiluted DNA extracts and CCE / extract calculations from EPA Method 1609 calculation spreadsheet. CCE are based on 15:1 calibrator target sequence equivalent (CSE) to CCE ratio established for RWQC guideline values. CCE / extract was multiplied by 100 ÷ filtered sample volume to obtain final estimate /100 ml. \QC fail\"" denotes analysis results that did not meet Method 1609 control assay acceptance criteria.""",All three cycles,EPA label differs and/or is blank across cycles
Enterococci,ENT_1X_STV_COND,No,,,Yes,NRSA 1819 Enterococci,Estimated enterococci CCE / 100 mL of water sample volume from ORD analyses of undiluted DNA extract and calculations from EPA Method 1609 calculation spreadsheet exceeds (1) or is less than (0) RWQC STV value of 1280 CCE/100 mL.,No,,,2018–2019 only,Not comparable across cycles
Enterococci,INDEX_VISIT,Yes,NRSA 1314 Enterococci Indicator,,No,,,No,,,2013–2014 only,Not comparable across cycles
Enterococci,LAB,No,,,Yes,NRSA 1819 Enterococci,Laboratory processing sample,Yes,NRSA 2324 Enterococci,Laboratory processing sample,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,MATRIX,No,,,Yes,NRSA 1819 Enterococci,"Type of sample (e.g., water, sediment, tissue)",Yes,NRSA 2324 Enterococci,"Type of sample (e.g., water, sediment, tissue)",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,NARS_FLAG,No,,,No,,,Yes,NRSA 2324 Enterococci,"Flag assigned by NARS: ND = Non-detect, L = Estimated, Q = Quality-related issue, S = Shipping time exceedence, H = Holding time exceedence, NR = No lab result for analyte",2023–2024 only,Not comparable across cycles
Enterococci,PSTL_CODE,No,,,No,,,Yes,NRSA 2324 Enterococci,"State two letter postal code for site sampled. 50 state postal codes plus AS, MP, GU, PR, VI for American Samoa, Commonwealth of Northern Marianas, Guam, Puerto Rico and Virgin Islands. No missing or \blank\"" values allowed.""",2023–2024 only,Not comparable across cycles
Enterococci,PUBLICATION_DATE,No,,,Yes,NRSA 1819 Enterococci,Date of data file publication,Yes,NRSA 2324 Enterococci,Date of data file publication,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,SAM_CODE,No,,,Yes,NRSA 1819 Enterococci,"Sample code (e.g., regular, lab duplicate, lab split)",Yes,NRSA 2324 Enterococci,"Sample code (e.g., regular, lab duplicate, lab split)",2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,SAMPLE_TYPE,No,,,Yes,NRSA 1819 Enterococci,Sample type,Yes,NRSA 2324 Enterococci,Sample type,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,SITE_ID,Yes,NRSA 1314 Enterococci Indicator,,Yes,NRSA 1819 Enterococci,Site ID,Yes,NRSA 2324 Enterococci,"Site ID for the study and year sampled. Preferred form is NRSnn_MM-xxxxx where nn is current cycle year (04, 08, 13, 18, etc), MM is two letter state code, and xxxxx is between 10001 and 99999. No missing or \blank\"" values allowed.""",All three cycles,EPA label differs and/or is blank across cycles
Enterococci,STATE,No,,,Yes,NRSA 1819 Enterococci,State of site,No,,,2018–2019 only,Not comparable across cycles
Enterococci,UID,Yes,NRSA 1314 Enterococci Indicator,Unique site visit ID,Yes,NRSA 1819 Enterococci,Unique site visit ID,Yes,NRSA 2324 Enterococci,Unique site visit ID,All three cycles,Same/equivalent EPA label across available cycles
Enterococci,UNIQUE_ID,No,,,No,,,Yes,NRSA 2324 Enterococci,Unique site ID based on location that does not depend on year sampled or any other factor. Form is NRS_ss_nnnnn where ss state and nnnnn is number that starts at 10001. No missing values allowed.,2023–2024 only,Not comparable across cycles
Enterococci,UNITS,No,,,Yes,NRSA 1819 Enterococci,Units,Yes,NRSA 2324 Enterococci,Units,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Enterococci,VISIT_NO,Yes,NRSA 1314 Enterococci Indicator,,Yes,NRSA 1819 Enterococci,Number identifying which visit this is,Yes,NRSA 2324 Enterococci,Number identifying which visit this is,All three cycles,EPA label differs and/or is blank across cycles
Enterococci,YEAR,Yes,NRSA 1314 Enterococci Indicator,,No,,,No,,,2013–2014 only,Not comparable across cycles
Fish,AG_ECO9,No,,,Yes,NRSA 1819 Fish Count | NRSA 1819 Fish MMI,"NARS 9-level reporting region, based on aggregated Omernik Level III ecoregions. No missing or \blank\"" values allowed.""",No,,,2018–2019 only,Not comparable across cycles
Fish,AG_ECO9_NM,Yes,NRSA 1314 Fish MMI | NRSA 1314 Fish Counts | NRSA 1314 Fish Metric Values,NARS 9-level reporting region Name | NARS 9-level reporting region name Text names. No missing values allowed.,No,,,No,,,2013–2014 only,Not comparable across cycles
Fish,ALIENNTAX,Yes,NRSA 1314 Fish Metric Values,Number of non-native (alien) taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of non-native (alien) taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ALIENNTAX_PT,Yes,NRSA 1314 Fish MMI,Score for ALIENNTAX used in MMI,Yes,NRSA 1819 Fish MMI,Score for ALIENNTAX used in MMI,Yes,NRSA 2324 Fish MMI,Score for ALIENNTAX used in MMI,All three cycles,Same/equivalent EPA label across available cycles
Fish,ALIENNTAX_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for ALIENNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for ALIENNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for ALIENNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,ALIENNTAX_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for ALIENNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for ALIENNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for ALIENNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,ALIENPIND,Yes,NRSA 1314 Fish Metric Values,% alien individuals,No,,,Yes,NRSA 2324 Fish Metrics,% alien individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ALIENPIND_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for ALIENPIND,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for ALIENPIND,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for ALIENPIND,All three cycles,Same/equivalent EPA label across available cycles
Fish,ALIENPIND_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for ALIENPIND,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for ALIENPIND,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for ALIENPIND,All three cycles,Same/equivalent EPA label across available cycles
Fish,ALIENPTAX,Yes,NRSA 1314 Fish Metric Values,% alien taxa,No,,,Yes,NRSA 2324 Fish Metrics,% alien taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ANALYST,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Laboratory analyst,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Laboratory analyst,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ANALYTE,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Analyte,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Analyte,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ANOM_CT,Yes,NRSA 1314 Fish Counts,,Yes,NRSA 1819 Fish Count,Total number of anomalies for taxon in sample,Yes,NRSA 2324 Fish Count,Total number of anomalies for taxon in sample,All three cycles,EPA label differs and/or is blank across cycles
Fish,ANOMPIND,Yes,NRSA 1314 Fish Metric Values,% individuals with anomalies (% DELT anomalies),No,,,Yes,NRSA 2324 Fish Metrics,% individuals with anomalies (% DELT anomalies),2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,ARRIVAL_TEMP,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Temperature upon arrival at lab,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Temperature upon arrival at lab,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,BATCH_ID,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Laboratory batch number,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Laboratory Batch ID,2018–2019 + 2023–2024,EPA label differs and/or is blank across cycles
Fish,BENTINVNTAX,Yes,NRSA 1314 Fish Metric Values,Number of benthic invertivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of benthic invertivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,BENTINVPIND,Yes,NRSA 1314 Fish Metric Values,% benthic invertivore individuals,No,,,Yes,NRSA 2324 Fish Metrics,% benthic invertivore individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,BENTINVPTAX,Yes,NRSA 1314 Fish Metric Values,% benthic invertivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,% benthic invertivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,BENTINVPTAX_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for BENTINVPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for BENTINVPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for BENTINVPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,BENTINVPTAX_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for BENTINVPTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for BENTINVPTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for BENTINVPTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,CARNNTAX,Yes,NRSA 1314 Fish Metric Values,Number of carnivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,Number of carnivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CARNNTAX_WS,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted value for CARNNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted value for CARNNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted value for CARNNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,CARNNTAX_WS_PT,Yes,NRSA 1314 Fish MMI,Traditional MMI watershed adjusted metric score for CARNNTAX,Yes,NRSA 1819 Fish MMI,Traditional MMI watershed adjusted metric score for CARNNTAX,Yes,NRSA 2324 Fish MMI,Traditional MMI watershed adjusted metric score for CARNNTAX,All three cycles,Same/equivalent EPA label across available cycles
Fish,CARNPIND,Yes,NRSA 1314 Fish Metric Values,% carnivore individuals,No,,,Yes,NRSA 2324 Fish Metrics,% carnivore individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CARNPTAX,Yes,NRSA 1314 Fish Metric Values,% carnivore taxa,No,,,Yes,NRSA 2324 Fish Metrics,% carnivore taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CAS_NO,No,,,Yes,NRSA 1819 Mercury in Fish Tissue Plugs,Chemical Abstracts Service number,Yes,NRSA 2324 Mercury in Fish Tissue Plugs,Chemical Abstracts Service number,2018–2019 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CATONTAX,Yes,NRSA 1314 Fish Metric Values,No. Catostomid taxa,No,,,Yes,NRSA 2324 Fish Metrics,No. Catostomid taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CATOPIND,Yes,NRSA 1314 Fish Metric Values,% Catostomid individuals,No,,,Yes,NRSA 2324 Fish Metrics,% Catostomid individuals,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CATOPTAX,Yes,NRSA 1314 Fish Metric Values,% Catostomid taxa,No,,,Yes,NRSA 2324 Fish Metrics,% Catostomid taxa,2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
Fish,CENTNTAX,Yes,NRSA 1314 Fish Metric Values,Number of Centrarchidae taxa (minus Micropterus),No,,,Yes,NRSA 2324 Fish Metrics,Number of Centrarchidae taxa (minus Micropterus),2013–2014 + 2023–2024,Same/equivalent EPA label across available cycles
