Metric ID	Discipline	Function	Function statement	Metric	Metric statement	Predefined SCS	Context	Method	How to measure	Good	Fair	Poor	References	Source	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Recommended Tiers	Original Description
channel-and-floodplain-dynamics-planform-complexity-sinuosity-braiding-side-channels-cutoffs	Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Planform Complexity (sinuosity/braiding/side channels/cutoffs)	"""Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability. Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery. Assesses whether planform and number of active threads match the natural setting, considering straightening, braiding, and side-channel connectivity. Ratio of channel length to valley length; higher sinuosity indicates greater curvature and habitat variety."""	No	Channel; Floodplain	Desktop; Field	"""Count active threads at observed stage and compare to expected channel type. Use a DEM to corroborate bar and corridor patterns. Compile an imagery time series to map cutoff and avulsion locations and summarize frequency over decades. Map connected side channels and verify likely connection thresholds at about bankfull stage using field checks or elevation profiles. Compute channel centerline length divided by valley length in GIS."""	Good: Condition aligns with local reference for the stream type. (Suggested index range 0.70-1.0)	Fair: Slight departure from reference condition. / Moderate braiding where not typical, or loss of braiding where it is typical. (Suggested index range 0.40-0.69)	Poor: Heavily braided from instability, or forced single-thread where braiding is expected. (Suggested index range 0.0-0.39)	NAIP or orthophotos; USGS 3DEP LiDAR DEM (where available).; USGS EarthExplorer imagery time series; NAIP and Google Earth historical imagery.; NAIP or orthophotos; LiDAR profiles for connection sills (where available); optional HEC-RAS 2D at bankfull (screening).; Rosgen (2006).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Heavily braided from instability, or forced single-thread where braiding is expected.	0.0-0.39	Fair	Slight departure from reference condition. / Moderate braiding where not typical, or loss of braiding where it is typical.	0.40-0.69	Good	Condition aligns with local reference for the stream type.	0.70-1.0	screening	"""Compares meander migration rates and cutoff frequency to reference behavior; excessive migration or avulsions indicate instability. Integrates bank geometry, rooting, surface protection, raw or failing banks, and hardening to summarize erosion risk and sediment delivery. Assesses whether planform and number of active threads match the natural setting, considering straightening, braiding, and side-channel connectivity. Ratio of channel length to valley length; higher sinuosity indicates greater curvature and habitat variety."""
channel-and-floodplain-dynamics-riparian-corridor-vegetation-width-continuity	Geomorphology	Channel and floodplain dynamics	Examines the role of bank processes and erosion in channel change. Observes patterns in sinuosity and curvature affecting habitat complexity.	Riparian Corridor Vegetation (width/continuity)	"""Percent forested land cover in the contributing watershed/catchment. Higher forest cover generally supports infiltration, reduces runoff and erosion, and can improve water quality. Riparian corridor vegetation and continuity/width along the reach or contributing stream network. Healthy riparian vegetation supports shading, bank stability, and sediment/nutrient filtering."""	No	Channel and Floodplain	Field screening and/or Desktop (imagery)	"""Delineate the contributing watershed and compute percent forest land cover using a land cover dataset (e.g., NLCD). Assign the condition class using the bin thresholds for this metric. Using recent imagery and/or land cover data, delineate the riparian corridor along the reach (or specified stream length) and quantify corridor width/continuity (e.g., percent of stream length meeting a minimum corridor width). Assign the condition class using the bin thresholds for this metric."""	Good: >80% of contributing streams (including tributaries) within catchment has > 25 feet corridor width. (Suggested index range 0.70-1.0)	Fair: 50-80% of streams (including tributaries) within catchment has > 25 feet corridor width. (Suggested index range 0.40-0.69)	Poor: <50% of streams (including tributaries) within catchment has > 25 feet corridor width. (Suggested index range 0.0-0.39)	NLCD Land Cover (MRLC) (if used); TN SQT; NAIP/NLCD (if used); Alaska SQT; NAIP/NLCD (if used); MN SQT 2020; NAIP/NLCD (if used); CO SQT 2019; NAIP/NLCD (if used); MI SQT 2019; NAIP/NLCD (if used); NC SQT 2019; NAIP/NLCD (if used); SC SQT 2021; NAIP/NLCD (if used); WI SQT 2022; NAIP/NLCD (if used); WY SQT 2019	Tennessee SQT; Alaska SQT; Minnesota SQT; Colorado SQT; Michigan SQT; North Carolina SQT; South Carolina SQT; Wisconsin SQT; Wyoming SQT	"""Land cover GIS (e.g., NLCD Land Cover or local land use/land cover dataset); watershed boundary. Imagery Recent aerial imagery (e.g., NAIP); land cover datasets (e.g., NLCD); hydrography/stream centerlines."""	Poor	<50% of streams (including tributaries) within catchment has > 25 feet corridor width.	0.0-0.39	Fair	50-80% of streams (including tributaries) within catchment has > 25 feet corridor width.	0.40-0.69	Good	>80% of contributing streams (including tributaries) within catchment has > 25 feet corridor width.	0.70-1.0	screening	"""Percent forested land cover in the contributing watershed/catchment. Higher forest cover generally supports infiltration, reduces runoff and erosion, and can improve water quality. Riparian corridor vegetation and continuity/width along the reach or contributing stream network. Healthy riparian vegetation supports shading, bank stability, and sediment/nutrient filtering."""
sediment-continuity-channel-degradation-incision	Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Channel Degradation / Incision	Bed is stable, with no active incision disconnecting floodplain unless minor incision is normal.	No	Channel	Field	Extract cross sections from LiDAR or survey data to compare bed elevation to the floodplain and locate active headcuts.	Good: No active downcutting. Bed elevation is stable. (Suggested index range 0.70-1.0)	Fair: Minor localized incision. / Noticeable incision or one or two moderate headcuts that reduce floodplain access. (Suggested index range 0.40-0.69)	Poor: Severe channel-wide incision with multiple major headcuts. (Suggested index range 0.0-0.39)	USGS 3DEP LiDAR cross sections and hillshade; repeat DEMs where available.	ERDC	Channel	Poor	Severe channel-wide incision with multiple major headcuts.	0.0-0.39	Fair	Minor localized incision. / Noticeable incision or one or two moderate headcuts that reduce floodplain access.	0.40-0.69	Good	No active downcutting. Bed elevation is stable.	0.70-1.0	screening	Bed is stable, with no active incision disconnecting floodplain unless minor incision is normal.
sediment-continuity-permafrost-degradation-thermokarst	Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Permafrost Degradation / Thermokarst	Permafrost condition and evidence of thaw/degradation within the contributing area, which can increase sediment and alter hydrology.	No	Watershed and Channel	Desktop (GIS/imagery) with field verification where feasible	Review permafrost maps and recent imagery for evidence of thaw slumps/thermokarst and evaluate per the metric definition; confirm in field where feasible. Assign the condition class using the bin thresholds for this metric.	Good: No areas of permafrost degradation in the catchment area have been observed. (Suggested index range 0.70-1.0)	Fair: Areas of permafrost degradation exist within or upstream of the project reach contributing to hillslope slumping or increased erosion but are not resulting in impacts to water quality. (Suggested index range 0.40-0.69)	Poor: Areas of permafrost degradation exist within or upstream of the project reach, contributing to hillslope slumping, increased erosion, and/or water quality impacts. (Suggested index range 0.0-0.39)	Alaska SQT	Alaska SQT	Imagery, Permafrost mapping, & Site data	Poor	Areas of permafrost degradation exist within or upstream of the project reach, contributing to hillslope slumping, increased erosion, and/or water quality impacts.	0.0-0.39	Fair	Areas of permafrost degradation exist within or upstream of the project reach contributing to hillslope slumping or increased erosion but are not resulting in impacts to water quality.	0.40-0.69	Good	No areas of permafrost degradation in the catchment area have been observed.	0.70-1.0	screening	Permafrost condition and evidence of thaw/degradation within the contributing area, which can increase sediment and alter hydrology.
sediment-continuity-sediment-balance-transport-deposition-turbidity	Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Sediment Balance (transport/deposition/turbidity)	"""Fine input aligns with transport, unless higher turbidity/fines are historically normal (e.g., blackwater). Deposition matches natural form, no severe bar formation beyond typical references. Flow/slope balance incoming sediment, avoiding major bars or deep scour, unless imbalance is historically normal."""	No	Floodplain	Desktop	"""Review available turbidity or TSS data and visually assess bed fines. Where data are absent, infer risk from land use and soils. Delineate bar types (point, mid-channel, lateral) and compare to expected morphology for the channel type. Screen stream power using discharge and slope and compare with observed bars or scour. Detailed transport modeling is beyond screening."""	Good: Low chronic turbidity and minimal fines, or regionally normal conditions. (Suggested index range 0.70-1.0)	Fair: Minor silt layers or partial turbidity. / High turbidity or moderate silt coverage. (Suggested index range 0.40-0.69)	Poor: Severe siltation or turbidity that smothers substrate. (Suggested index range 0.0-0.39)	EPA Water Quality Portal (turbidity/TSS); USGS NWIS (where available); NLCD land cover; SSURGO K-factor (erodibility).; NAIP or orthophotos; LiDAR bare-earth DEM (where available).; USGS StreamStats flow statistics (where available); NHDPlus HR slope; NAIP imagery for bar validation.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Severe siltation or turbidity that smothers substrate.	0.0-0.39	Fair	Minor silt layers or partial turbidity. / High turbidity or moderate silt coverage.	0.40-0.69	Good	Low chronic turbidity and minimal fines, or regionally normal conditions.	0.70-1.0	screening	"""Fine input aligns with transport, unless higher turbidity/fines are historically normal (e.g., blackwater). Deposition matches natural form, no severe bar formation beyond typical references. Flow/slope balance incoming sediment, avoiding major bars or deep scour, unless imbalance is historically normal."""
sediment-continuity-sediment-supply-potential-watershed-banks	Geomorphology	Sediment continuity	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Sediment Supply Potential (watershed/banks)	Relative sediment supply from the watershed and near-channel sources. Excessive sediment supply can increase turbidity, embed substrates, and degrade habitat.	Yes	Watershed and Channel	Desktop (GIS/imagery) with field verification where feasible	Use available GIS layers and imagery (land cover, soils, slopes, roads) and local knowledge to rate potential sediment supply per the metric definition. Assign the condition class using the bin thresholds for this metric.	Good: Low anthropogenic-caused sediment supply. Upstream bank erosion and surface runoff is minimal. (Suggested index range 0.70-1.0)	Fair: Moderate anthropogenic-caused sediment supply from upstream bank erosion and surface runoff. (Suggested index range 0.40-0.69)	Poor: High anthropogenic-caused sediment supply from upstream bank erosion and surface runoff. (Suggested index range 0.0-0.39)	NLCD/SSURGO/DEM (if used); Alaska SQT; NLCD/SSURGO/DEM (if used); CO SQT 2019; WY SQT 2019; NLCD/SSURGO/DEM (if used); MI SQT 2019; NC SQT 2019; NLCD/SSURGO/DEM (if used); MN SQT 2020; NLCD/SSURGO/DEM (if used); SC SQT 2021	Alaska SQT; Colorado SQT; Wyoming SQT; Michigan SQT; North Carolina SQT; Minnesota SQT; South Carolina SQT	"""Imagery & Site data Land cover and soils (e.g., NLCD, SSURGO), DEM/slope, roads layers, and recent imagery."""	Poor	High anthropogenic-caused sediment supply from upstream bank erosion and surface runoff.	0.0-0.39	Fair	Moderate anthropogenic-caused sediment supply from upstream bank erosion and surface runoff.	0.40-0.69	Good	Low anthropogenic-caused sediment supply. Upstream bank erosion and surface runoff is minimal.	0.70-1.0	screening	Relative sediment supply from the watershed and near-channel sources. Excessive sediment supply can increase turbidity, embed substrates, and degrade habitat.
bed-composition-and-large-wood-bedform-diversity-sequence	Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Bedform Diversity / Sequence	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.	No	Floodplain	Desktop	Count presence of riffle, run, pool, or step-pool units and note whether sequences are intact.	Good: Clear riffle-pool or step-pool sequence with robust variety. (Suggested index range 0.70-1.0)	Fair: Some diversity but partially uniform. / Mostly homogeneous bed with faint or missing sequences. (Suggested index range 0.40-0.69)	Poor: Flattened or artificially uniform bed. (Suggested index range 0.0-0.39)	Field habitat mapping; high-resolution imagery; planform metrics (for example sinuosity) as supporting context.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Flattened or artificially uniform bed.	0.0-0.39	Fair	Some diversity but partially uniform. / Mostly homogeneous bed with faint or missing sequences.	0.40-0.69	Good	Clear riffle-pool or step-pool sequence with robust variety.	0.70-1.0	screening	Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety.
bed-composition-and-large-wood-historic-tie-drives	Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Historic Tie Drives	Screening metric used to evaluate Bed composition and bedform dynamics based on the definition and bin thresholds provided for this metric.	No	Channel	Field screening	Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.	Good: Never had them, or no remaining evidence. (Suggested index range 0.70-1.0)	Fair: May have occurred but effects ameliorated. (Suggested index range 0.40-0.69)	Poor: Occurred and effects persist. (Suggested index range 0.0-0.39)	WY SQT 2019	Wyoming SQT	State/agency datasets, GIS/imagery, and field observations (as applicable).	Poor	Occurred and effects persist.	0.0-0.39	Fair	May have occurred but effects ameliorated.	0.40-0.69	Good	Never had them, or no remaining evidence.	0.70-1.0	screening	Screening metric used to evaluate Bed composition and bedform dynamics based on the definition and bin thresholds provided for this metric.
bed-composition-and-large-wood-substrate-condition-grain-size-embeddedness-fines-consolidation	Geomorphology	Bed composition and large wood	Supports aquatic habitats through streambed material and bedform dynamics. Enhances habitat complexity and streambank stability.	Substrate Condition (grain size/embeddedness/fines/consolidation)	"""Fine sediment deposition/embeddedness as an indicator of sediment imbalance and habitat condition for benthic organisms and fish spawning. Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety. Combines substrate size distribution, embeddedness, and consolidation or armoring to assess pore space and habitat quality."""	Yes	Channel	Field screening; Field	"""Conduct a field screening to visually estimate fine sediment deposition or embeddedness in representative riffles/runs, or use an approved protocol referenced by the applicable SQT. Assign the condition class using the bin thresholds for this metric. Perform a pebble count to estimate percent gravel and cobble versus fines. Estimate percent of coarse grains buried by fines during a field visit. Use a pick test or visual checks to identify surface crusting, cementing, or heavy armoring. Visually classify dominant substrate along the reach (bedrock, boulder, cobble, gravel, sand, silt or clay) and note the relative amount of fines and embedding."""	Good: Open interstitial coarse bed with minimal fines. (Suggested index range 0.70-1.0)	Fair: Mild embedding or partial fine coverage. / Strong embedding or siltation limiting infiltration. (Suggested index range 0.40-0.69)	Poor: Predominantly fine or consolidated bed with little interstitial space. (Suggested index range 0.0-0.39)	TN SQT; Field pebble count; USGS or state surficial geology; high-resolution imagery for bar texture classes (where available).; Field embeddedness estimate; EPA Water Quality Portal (turbidity/TSS); assessment listings for sediment (where available).; Field pick test or visual checks; document as data gap where field access is limited.; Barbour et al. (1999); SVAP v2 (2018).	Tennessee SQT; ERDC	"""Field observations (pebble counts/visual estimates) and/or existing habitat survey data. """	Poor	Predominantly fine or consolidated bed with little interstitial space.	0.0-0.39	Fair	Mild embedding or partial fine coverage. / Strong embedding or siltation limiting infiltration.	0.40-0.69	Good	Open interstitial coarse bed with minimal fines.	0.70-1.0	screening	"""Fine sediment deposition/embeddedness as an indicator of sediment imbalance and habitat condition for benthic organisms and fish spawning. Presence and clarity of expected bedform sequence (riffle-run-pool or step-pool) indicate organized transport and habitat variety. Combines substrate size distribution, embeddedness, and consolidation or armoring to assess pore space and habitat quality."""
light-and-thermal-regime-nuisance-algal-growth	Physicochemistry	Light & thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Nuisance Algal Growth	Moderate growth matches local light regime, unless historically high/low (e.g., blackwater).	No	Channel	Field	Estimate percent algal cover or use chlorophyll or periphyton data where available and interpret with nutrients and shade context.	Good: Minimal algae and no nuisance mats. (Suggested index range 0.70-1.0)	Fair: Slightly elevated algal coverage. / Large mats that partially impair habitat. (Suggested index range 0.40-0.69)	Poor: Dense bloom or scum that covers substrate. (Suggested index range 0.0-0.39)	EPA Water Quality Portal (chlorophyll-a, periphyton where available); TN/TP datasets; riparian canopy or shade metrics.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Dense bloom or scum that covers substrate.	0.0-0.39	Fair	Slightly elevated algal coverage. / Large mats that partially impair habitat.	0.40-0.69	Good	Minimal algae and no nuisance mats.	0.70-1.0	screening	Moderate growth matches local light regime, unless historically high/low (e.g., blackwater).
light-and-thermal-regime-stream-temperature	Physicochemistry	Light & thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Stream Temperature	Stays within acceptable bounds for local aquatic life, rarely exceeding stress thresholds.	Yes	Floodplain	Desktop	Pull historical evidence or GIS data from public sources on temperature data such as USGS NWIS and EPA Water Quality Portal. In absence of data sources, use riparian shading as a surrograte based on GIS data and aerial photogrammetry	Good: Rarely surpasses local standard or typical seasonal maxima for the stream type. (Suggested index range 0.70-1.0)	Fair: Slightly exceeds thresholds occasionally. (Suggested index range 0.40-0.69)	Poor: Frequently near or above thresholds. / Consistently high or potentially lethal temperatures. (Suggested index range 0.0-0.39)	USGS NWIS and/or EPA Water Quality Portal water temperature data (where available); NorWeST modeled stream temperature products (where available).	ERDC	USGS NWIS and/or EPA Water Quality Portal water temperature data (where available); NorWeST modeled temperatures (where available); Riparian shading proxy in absence of data sources	Poor	Frequently near or above thresholds. / Consistently high or potentially lethal temperatures.	0.0-0.39	Fair	Slightly exceeds thresholds occasionally.	0.40-0.69	Good	Rarely surpasses local standard or typical seasonal maxima for the stream type.	0.70-1.0	screening	Stays within acceptable bounds for local aquatic life, rarely exceeding stress thresholds.
light-and-thermal-regime-thermal-refugia-availability	Physicochemistry	Light & thermal regime	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Thermal Refugia Availability	Springs or deeper pools temper extremes, unless large daily swings are historically normal (arid ephemeral).	No	Floodplain	Desktop	Locate cooler pockets or deeper pools using a field temperature check or loggers where available.	Good: Multiple cooler pockets or deeper pools provide refugia during warm periods. (Suggested index range 0.70-1.0)	Fair: One or two minor refuges. / Rare or minimal cooler zones. (Suggested index range 0.40-0.69)	Poor: No refugia where expected. High thermal stress risk. (Suggested index range 0.0-0.39)	Field IR gun or loggers; mapped springs/seeps and baseflow indices (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	No refugia where expected. High thermal stress risk.	0.0-0.39	Fair	One or two minor refuges. / Rare or minimal cooler zones.	0.40-0.69	Good	Multiple cooler pockets or deeper pools provide refugia during warm periods.	0.70-1.0	screening	Springs or deeper pools temper extremes, unless large daily swings are historically normal (arid ephemeral).
carbon-processing-detrital-processing-cpom-retention-shredders	Physicochemistry	Carbon processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Detrital Processing (CPOM retention / shredders)	"""Leaf litter/coarse organic matter are visibly retained, supporting detrital processes per local references. Quick checks show these invertebrates, indicating healthy detrital processing (if typical)."""	Yes	Channel	Field	"""Count leaf packs and small debris dams, or infer retention from wood presence and low-velocity habitat during a field visit. Conduct a rapid kick sample and note presence of shredder taxa where a CPOM pathway is expected."""	Good: Abundant CPOM retention with stable leaf packs typical for the system. (Suggested index range 0.70-1.0)	Fair: Some retention but partially flushed out. / Sparse organic matter and limited retention. (Suggested index range 0.40-0.69)	Poor: Essentially no retained organic matter, or severe overload causing anoxia risk. (Suggested index range 0.0-0.39)	Field observation; wood and habitat assessments; planform complexity from imagery as supporting context.; State biomonitoring portals and/or EPA Water Quality Portal biological results (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Essentially no retained organic matter, or severe overload causing anoxia risk.	0.0-0.39	Fair	Some retention but partially flushed out. / Sparse organic matter and limited retention.	0.40-0.69	Good	Abundant CPOM retention with stable leaf packs typical for the system.	0.70-1.0	screening	"""Leaf litter/coarse organic matter are visibly retained, supporting detrital processes per local references. Quick checks show these invertebrates, indicating healthy detrital processing (if typical)."""
carbon-processing-primary-production-algal-indicators	Physicochemistry	Carbon processing	Organic matter is captured and broken down, fueling food webs, balancing production/ respiration, moderating pH/ redox, and supplying nutrients.	Primary Production / Algal Indicators	Balanced algae/macrophyte growth, no nuisance blooms, unless moderate coverage is historically normal.	No	Channel	Field	Use chlorophyll or periphyton data where available. If absent, infer risk from nutrients and light conditions.	Good: Balanced growth with no nuisance blooms. (Suggested index range 0.70-1.0)	Fair: Slightly elevated algae. / Frequent moderate nuisance mats. (Suggested index range 0.40-0.69)	Poor: Thick blooms or scums that cover substrate. (Suggested index range 0.0-0.39)	EPA Water Quality Portal (chlorophyll-a/periphyton where available); nutrient datasets (TN/TP) and shade context.	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Thick blooms or scums that cover substrate.	0.0-0.39	Fair	Slightly elevated algae. / Frequent moderate nuisance mats.	0.40-0.69	Good	Balanced growth with no nuisance blooms.	0.70-1.0	screening	Balanced algae/macrophyte growth, no nuisance blooms, unless moderate coverage is historically normal.
nutrient-cycling-agriculture-and-livestock-nutrient-pressure	Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Agriculture & Livestock Nutrient Pressure	"""Extent of agricultural land use and/or livestock access in the watershed, which can contribute nutrients, bacteria, and sediment. Screening metric used to evaluate Nutrient cycling based on the definition and bin thresholds provided for this metric."""	No	Watershed and Channel	Desktop (land cover/listings) and/or Field screening	"""Use land cover/agricultural datasets and imagery to quantify agricultural extent and identify livestock access where specified. Assign the condition class using the bin thresholds for this metric. Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds."""	Good: There is little to no agricultural land uses or the livestock or cropland is far enough away from project reach to cause no impact to water quality or biology. (Suggested index range 0.70-1.0)	Fair: Livestock access to stream and/or intensive cropland upstream of project reach. A sufficient reach of stream is between Ag. land use and project reach. (Suggested index range 0.40-0.69)	Poor: Livestock access to stream and/or intensive cropland immediately upstream of project reach. (Suggested index range 0.0-0.39)	USDA CDL/NLCD (if used); MI SQT 2019; NC SQT 2019; USDA CDL/NLCD (if used); SC SQT 2021; USDA CDL/NLCD (if used); TN SQT; USDA CDL/NLCD (if used); WI SQT 2022; MN SQT 2020; USDA CDL/NLCD (if used); MN SQT 2020	Michigan SQT; North Carolina SQT; South Carolina SQT; Tennessee SQT; Wisconsin SQT; Minnesota SQT	"""NLCD Land Cover; USDA Cropland Data Layer (CDL) (if used); recent imagery; local agricultural layers. State/agency datasets, GIS/imagery, and field observations (as applicable)."""	Poor	Livestock access to stream and/or intensive cropland immediately upstream of project reach.	0.0-0.39	Fair	Livestock access to stream and/or intensive cropland upstream of project reach. A sufficient reach of stream is between Ag. land use and project reach.	0.40-0.69	Good	There is little to no agricultural land uses or the livestock or cropland is far enough away from project reach to cause no impact to water quality or biology.	0.70-1.0	screening	"""Extent of agricultural land use and/or livestock access in the watershed, which can contribute nutrients, bacteria, and sediment. Screening metric used to evaluate Nutrient cycling based on the definition and bin thresholds provided for this metric."""
nutrient-cycling-denitrification-potential-floodplain-wetness	Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Denitrification Potential (floodplain wetness)	Adequate floodplain/wetland pockets for denitrification, consistent with local reference.	No	Floodplain	Field	Assess presence of wet pockets and redox indicators. Use hydric soils and wetlands mapping as a screening proxy.	Good: Strong potential with connected wet areas and soils. (Suggested index range 0.70-1.0)	Fair: Some wet zones but partially disconnected. / Limited wetland area and moderate export risk. (Suggested index range 0.40-0.69)	Poor: No wetlands or heavily drained soils with low denitrification potential. (Suggested index range 0.0-0.39)	NRCS SSURGO hydric soils; USFWS National Wetlands Inventory (NWI).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	No wetlands or heavily drained soils with low denitrification potential.	0.0-0.39	Fair	Some wet zones but partially disconnected. / Limited wetland area and moderate export risk.	0.40-0.69	Good	Strong potential with connected wet areas and soils.	0.70-1.0	screening	Adequate floodplain/wetland pockets for denitrification, consistent with local reference.
nutrient-cycling-dissolved-oxygen-fluctuation-diel-swing	Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Dissolved Oxygen Fluctuation (diel swing)	Daily O2 changes are moderate (<2 mg/L), unless larger swings are normal (warm swamp streams).	No	Floodplain	Desktop	Analyze dissolved oxygen for diurnal swings where continuous data exist. If not, use spot checks and nutrient context as a screening proxy.	Good: <2 mg/L diurnal swing and no frequent hypoxia. (Suggested index range 0.70-1.0)	Fair: 2-4 mg/L swing with occasional stress. / 4-6 mg/L swing and borderline low DO at night. (Suggested index range 0.40-0.69)	Poor: >6 mg/L swing or frequent dips below 3 mg/L. (Suggested index range 0.0-0.39)	USGS NWIS continuous dissolved oxygen (where available); state continuous monitoring networks (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	>6 mg/L swing or frequent dips below 3 mg/L.	0.0-0.39	Fair	2-4 mg/L swing with occasional stress. / 4-6 mg/L swing and borderline low DO at night.	0.40-0.69	Good	<2 mg/L diurnal swing and no frequent hypoxia.	0.70-1.0	screening	Daily O2 changes are moderate (<2 mg/L), unless larger swings are normal (warm swamp streams).
nutrient-cycling-nitrogen-and-phosphorus-concentrations	Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Nitrogen & Phosphorus Concentrations	Nutrients near natural/guidelines unless higher levels are normal (e.g., blackwater).	Yes	Channel	Field	Compile recent total nitrogen and total phosphorus data and compare to regional guidelines. Where data are absent, use watershed export models for context.	Good: Near background or guideline values. (Suggested index range 0.70-1.0)	Fair: Slightly elevated N or P. / Marked elevation with likely ecological effects. (Suggested index range 0.40-0.69)	Poor: Significantly above guidelines indicating strong nutrient pollution. (Suggested index range 0.0-0.39)	EPA Water Quality Portal (TN/TP); USGS SPARROW nutrient maps (where available).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Significantly above guidelines indicating strong nutrient pollution.	0.0-0.39	Fair	Slightly elevated N or P. / Marked elevation with likely ecological effects.	0.40-0.69	Good	Near background or guideline values.	0.70-1.0	screening	Nutrients near natural/guidelines unless higher levels are normal (e.g., blackwater).
nutrient-cycling-nuisance-algae-periphyton-indicator	Physicochemistry	Nutrient cycling	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Nuisance Algae / Periphyton Indicator	Algae suggests no excessive nutrients vs reference, unless historically moderate (open canopy).	No	Channel	Field	Estimate periphyton or algal cover during a field visit and interpret with light and nutrients.	Good: No nuisance algae and <10% cover, or normal for region. (Suggested index range 0.70-1.0)	Fair: 10-30% cover or mild filaments. / 30-50% cover with partial blooms. (Suggested index range 0.40-0.69)	Poor: >50% cover or thick scums. (Suggested index range 0.0-0.39)	EPA Water Quality Portal (nutrients and chlorophyll where available); field observations; watershed land cover context (NLCD).	ERDC	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	>50% cover or thick scums.	0.0-0.39	Fair	10-30% cover or mild filaments. / 30-50% cover with partial blooms.	0.40-0.69	Good	No nuisance algae and <10% cover, or normal for region.	0.70-1.0	screening	Algae suggests no excessive nutrients vs reference, unless historically moderate (open canopy).
