Indicator	Observation	Criteria	Sentiment
pH & Specific Conductivity (rapid)	pH 6.3 or 8.7 with otherwise stable chemistry.	Slightly off-range or mild elevation.	+
pH & Specific Conductivity (rapid)	pH 5.8 or 9.2. Conductivity ~1000 uS/cm.	Marked deviation or 800-1500 uS/cm.	-
pH & Specific Conductivity (rapid)	pH 4.8 or 10.2. Conductivity > 2000 uS/cm.	Extreme pH or very high conductance.	--
Bank & Floodplain Soil Condition	Intact native soils and vegetation. No odors or staining.	Natural soils. No contamination indicators.	++
Bank & Floodplain Soil Condition	Small dump pile or localized manure near a crossing.	Minor dumping or localized inputs.	+
Bank & Floodplain Soil Condition	Stained soils and debris on banks near former industrial area.	Known moderate contamination.	-
Bank & Floodplain Soil Condition	Strong petroleum odor, visible seepage, or listed hazardous site on the floodplain.	Highly contaminated soils.	--
In-Stream Habitat Complexity	Riffles, runs, pools, and large wood recur across the reach.	Multiple habitat types well represented.	++
In-Stream Habitat Complexity	Riffle and run common. Pools intermittent. Sparse cover.	Some variety but missing key elements.	+
In-Stream Habitat Complexity	Long uniform glide or sand bed with occasional shallow run.	Mostly uniform. Only 1-2 distinct features.	-
In-Stream Habitat Complexity	Straight, entrenched, uniform channel with little cover.	Very uniform channel. Limited structural diversity.	--
Undercut Banks and Overhanging Vegetation	Thick root mats and overhanging shrubs along outside bends.	About 50% or more of banks provide undercut or overhanging cover.	++
Undercut Banks and Overhanging Vegetation	Intermittent undercuts and low branches in meanders.	About 25-50% cover.	+
Undercut Banks and Overhanging Vegetation	Short isolated undercut pockets. Many bare or armored banks.	About 10-25% cover.	-
Undercut Banks and Overhanging Vegetation	Banks straight and hardened. Little to no overhanging vegetation.	<10% cover.	--
Aquatic Invertebrate Habitat	Stable cobble riffles with gravel pockets, root wads, leaf packs, and scattered wood.	Multiple stable substrates and organic cover supporting diverse invertebrates.	++
Aquatic Invertebrate Habitat	Cobble and gravel with some roots or wood. Fines cover parts of the bed.	Some substrate variety but partly limited by fines.	+
Aquatic Invertebrate Habitat	Mostly mobile sand or silt with little wood or leaf packs.	Limited stable substrate and few microhabitats.	-
Aquatic Invertebrate Habitat	Uniform sand, silt, or bedrock. No wood, leaf packs, or root structure.	Very poor substrate variety and minimal invertebrate habitat.	--
Lateral and Off-Channel Habitats	Side channels and backwaters connect during seasonal highs. Fish and amphibian use observed.	Well connected off-channel areas offering refuge and spawning.	++
Lateral and Off-Channel Habitats	One or two backwaters with partial seasonal connection.	Some partial connection.	+
Lateral and Off-Channel Habitats	Small depressions connect only during rare floods.	Rare or only ephemeral off-channel usage.	-
Lateral and Off-Channel Habitats	Levees or berms isolate the channel from the floodplain.	No side channels or backwaters remain.	--
Fish habitat	Clean gravels with open spaces and many shallow pockets, wood, and vegetation.	Embeddedness 0-25 percent; over 40 percent shallow, low-velocity cover.	++
Fish habitat	Light sand on riffles; scattered wood and bank cover.	Embeddedness 25-50 percent; about 20-40 percent shallow, low-velocity cover.	+
Fish habitat	Gravels embedded with silt; few bank pockets or calm margins.	Embeddedness 50-75 percent; about 5-20 percent shallow, low-velocity cover.	-
Fish habitat	Bed mostly sand or silt; no pockets or structural cover.	Embeddedness >=75 percent; less than 5 percent shallow, low-velocity cover.	--
Aquatic Invertebrate Community	Mayflies, stoneflies, and caddisflies found in kick sample.	All three EPT orders present with multiple taxa.	++
Aquatic Invertebrate Community	Two of three EPT orders present.	Two EPT orders present.	+
Aquatic Invertebrate Community	Only one EPT order present.	One EPT order present.	-
Aquatic Invertebrate Community	No EPT. Mostly tolerant midges and worms.	Zero EPT orders present.	--
Fish Presence	Several native species across many sizes.	Multiple native species with broad size classes.	++
Fish Presence	Two to three natives; sizes limited.	Few natives with partial size classes.	+
Fish Presence	Only tolerant species present in low numbers.	One to two tolerant species dominate.	-
Fish Presence	No fish detected where expected.	Absent or only non-native species present.	--
Amphibian and Crayfish Presence	Multiple frogs, salamanders, and crayfish observed.	Presence aligns with reference expectations.	++
Amphibian and Crayfish Presence	A few individuals observed.	Limited presence.	+
Amphibian and Crayfish Presence	One or two sightings only.	Rare occurrence.	-
Amphibian and Crayfish Presence	None detected during suitable season.	Absent where historically expected.	--
Native and non-native species	Native fish and invertebrates common. Very few non natives seen.	Native community matches reference. Non natives rare and low abundance.	++
Native and non-native species	Most natives present. Some sensitive species missing.	Minor native loss. Non natives present but natives still dominant.	+
Native and non-native species	Many sensitive natives gone. Non natives frequent.	Noticeable native decline. Non natives common or co-dominant.	-
Native and non-native species	Only tolerant or non native species observed.	Natives rare or absent. Community dominated by tolerant or invasive taxa.	--
Species richness, composition and abundance	Many species across several feeding groups.	High richness. Balanced feeding groups. Good index score.	++
Species richness, composition and abundance	Several species present. Some groups missing.	Moderate richness. Some imbalance in feeding groups.	+
Species richness, composition and abundance	Few species. One or two groups dominate.	Low richness. Dominance by tolerant taxa or single group.	-
Species richness, composition and abundance	Very few species. Mostly tolerant taxa.	Extremely low richness and diversity. Poor index score.	--
Riparian communities	Continuous native trees, shrubs, and groundcover.	Wide, intact native corridor with minimal invasives.	++
Riparian communities	Mostly vegetated corridor with some gaps.	Moderate width and structure. Some invasive patches present.	+
Riparian communities	Thin or patchy vegetation along banks.	Narrow corridor. Fragmented native cover with common invasives.	-
Riparian communities	Little native vegetation. Banks mostly lawn or invasives.	Corridor very narrow or absent. Native plants largely missing.	--
Keystone species	Beaver, mussels, or crayfish common where expected.	Expected keystone taxa widespread. No invasive dominance.	++
Keystone species	Some keystone species present but patchy.	At least one keystone taxon present but limited distribution.	+
Keystone species	Keystone species observed only in small numbers.	Keystone taxa rare compared to reference or historical levels.	-
Keystone species	Expected keystone species absent. Invasives common.	No keystone taxa present. Strong invasive dominance.	--
Upstream and Downstream Barriers	No dams or weirs within the connected corridor. Only small natural steps that fish pass at typical flows.	80-100% of habitat accessible. No major barriers.	++
Upstream and Downstream Barriers	One small low-head structure downstream with partial passage at moderate flows.	About 50-80% accessible.	+
Upstream and Downstream Barriers	Several small barriers in series restrict movement across subreaches.	About 20-50% accessible.	-
Upstream and Downstream Barriers	Large regulating dam close to the reach with multiple downstream grade controls.	<20% accessible due to big dams or multiple blockages.	--
Culvert and Road-Crossing Passability	Crossings are embedded and aligned with natural bed. No outlet drops.	80-100% stream continuity at crossings.	++
Culvert and Road-Crossing Passability	Most crossings passable. A few show minor outlet drops or smooth barrels.	About 50-80% passable.	+
Culvert and Road-Crossing Passability	Several perched culverts and steep barrels concentrate flow and block passage.	About 20-50% passable.	-
Culvert and Road-Crossing Passability	Many perched pipes and long smooth boxes with no bed material.	<20% passable. Multiple perched culverts hamper movement.	--
Lateral Connectivity for Riparian Fauna	Banks are free of continuous levees or walls. Side channels and backwaters are accessible.	No major levees or walls. Free lateral movement for semiaquatic fauna.	++
Lateral Connectivity for Riparian Fauna	Short levee segments occur, but frequent gaps allow movement to wetlands.	Some partial barriers but still some access.	+
Lateral Connectivity for Riparian Fauna	Long levees or ripraped banks on one side limit access to the floodplain in many places.	Large levees hamper movement in many areas.	-
Lateral Connectivity for Riparian Fauna	Both banks armored or walled for long distances. Few or no access points.	Heavily walled or leveed corridor. Minimal lateral connectivity.	--
Dewatered or Intermittent Segments	Continuous wetted channel during the expected season. No artificial withdrawals noted.	No artificial dryness. Natural connectivity is maintained.	++
Dewatered or Intermittent Segments	Short dry patches appear during late season but reconnect after small rains.	Minor dryness in small segments.	+
Dewatered or Intermittent Segments	Long dry segments form in critical habitat areas during the growing season.	Notable dryness or disconnection in key reaches.	-
Dewatered or Intermittent Segments	Reaches are chronically dewatered or disconnected for long periods due to withdrawals or diversions.	Chronic or large-scale dewatering. Major fragmentation.	--
