Metric Name	Mapped Function	Source	Stream Condition Screening (SCS) Has it On 	Metric Data Source	Bin 1 Name	Bin 1 Desc	Bin 1 Recommended Index (0-1.0)	Bin 2 Name	Bin 2 Desc	Bin 2 Recommended Index (0-1.0)	Bin 3 Name	Bin 3 Desc	Bin 3 Recommended Index (0-1.0)	Discipline	Recommended Tiers	Metric Statement	Description	Method/Context	How To Measure	References
Nuisance Algal Growth	Light & thermal regime	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Dense bloom or scum that covers substrate.	0-0.29	Fair	Slightly elevated algal coverage. / Large mats that partially impair habitat.	0.40-0.69	Good	Minimal algae and no nuisance mats.	0.70-1.0	Physicochemistry	screening	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Moderate growth matches local light regime, unless historically high/low (e.g., blackwater).	"Context: Channel

Method: Field"	Estimate percent algal cover or use chlorophyll or periphyton data where available and interpret with nutrients and shade context.	EPA Water Quality Portal (chlorophyll-a, periphyton where available); TN/TP datasets; riparian canopy or shade metrics.
Thermal Refugia Availability	Light & thermal regime	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	No refugia where expected. High thermal stress risk.	0-0.29	Fair	One or two minor refuges. / Rare or minimal cooler zones.	0.40-0.69	Good	Multiple cooler pockets or deeper pools provide refugia during warm periods.	0.70-1.0	Physicochemistry	screening	Shade, solar input, and groundwater keep temperature and light within natural ranges for stream metabolism and dissolved oxygen.	Springs or deeper pools temper extremes, unless large daily swings are historically normal (arid ephemeral).	"Context: Channel

Method: Field"	Locate cooler pockets or deeper pools using a field temperature check or loggers where available.	Field IR gun or loggers; mapped springs/seeps and baseflow indices (where available).
Low-flow Wetted Connectivity	Low flow and baseflow dynamics	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	<25% wetted, or mostly disconnected pools in a historically perennial reach.	0-0.29	Fair	25-75% wetted.	0.40-0.69	Good	>75% of channel wetted at normal low flow (or dryness is normal if ephemeral).	0.70-1.0	Hydraulics	screening	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	"Evaluates whether the reach maintains adequate wetted depth and continuity during low flow by integrating pool depth, wetted length, exposed bed, and Q90/Q10 differences.
Extent to which water remains in contact with both banks and low benches during low flow, sustaining edge habitat and exchange."	"Context: Channel

Method: Field"	"Estimate percent of channel length wetted at typical low-flow conditions and document with photos where feasible.
Count pools that remain connected versus isolated at low flow and note dominant disconnection causes.
Estimate percent of bed exposed during low flow using field photos or dry-season imagery where available."	Field observation and photos; NAIP imagery; NHDPlus HR flowline codes; USGS NWIS zero-flow days (where available).; Field verification; NAIP dry-season imagery; optional HEC-RAS 2D at low flow; LiDAR longitudinal profile (where available).; Field photos; NAIP dry-season imagery; LiDAR with estimated low-flow water surface (where available).
Aufeis / Icing Impacts	Low flow and baseflow dynamics	Alaska SQT	No	Site data	Poor	Aufeis formation caused by land disturbance is extensive within, extends into the reach from downstream, or is found within 1 kilometer (0.62 miles) upstream of the project reach.	0-0.29	Fair	Aufeis formation caused by land disturbance is moderate within, extends into the reach from downstream, or is found within 1 kilometer (0.62 miles) upstream of the project reach.	0.40-0.69	Good	Aufeis formation caused by land disturbance is minor or nonexistent within, extends into the reach from downstream, or is found upstream of the project reach.	0.70-1.0	Hydraulics	screening	Low flow and baseflow dynamics ensure habitat availability and water quality during low water levels and indicate non-storm conditions experienced the majority of the time.	Aufeis (icing) formation and extent near the project reach. Changes in aufeis can indicate altered groundwater/surface water interactions and land disturbance.	"Context: Channel

Method: Field screening and/or Desktop (flow records/imagery)"	Map aufeis presence/extent using winter imagery and/or field observations and assess proximity to the project reach per the metric definition. Assign the condition class using the bin thresholds for this metric.	Alaska SQT
Baseflow Index (BFI) vs Baseline	Low flow and baseflow dynamics	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	More than 40% difference from baseline, indicating extreme baseflow alteration.	0-0.29	Fair	About 10-20% difference from baseline. / About 20-40% difference from baseline.	0.40-0.69	Good	BFI closely matches the region's baseline.	0.70-1.0	Hydraulics	screening	Ensures habitat availability and water quality during low water levels, and indicates non-storm conditions experienced the majority of the time.	Degree to which residual pools and riffle segments remain linked by continuous surface flow along the thalweg at normal low flow.	"Context: Channel

Method: Desktop"	Compute Baseflow Index from daily flow records and compare to a regional or historical baseline where available.	USGS Groundwater Toolbox (BFI+, PART/WHAT/BASEFLOW) and/or USGS EflowStats; Wolock (2003) BFI grids (where used).
Nitrogen & Phosphorus Concentrations	Nutrient cycling	ERDC	Yes	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Significantly above guidelines indicating strong nutrient pollution.	0-0.29	Fair	Slightly elevated N or P. / Marked elevation with likely ecological effects.	0.40-0.69	Good	Near background or guideline values.	0.70-1.0	Physicochemistry	screening	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Nutrients near natural/guidelines unless higher levels are normal (e.g., blackwater).	"Context: Channel

Method: Field"	Compile recent total nitrogen and total phosphorus data and compare to regional guidelines. Where data are absent, use watershed export models for context.	EPA Water Quality Portal (TN/TP); USGS SPARROW nutrient maps (where available).
Agriculture & Livestock Nutrient Pressure	Nutrient cycling	Michigan SQT; North Carolina SQT; South Carolina SQT; Tennessee SQT; Wisconsin SQT; Minnesota SQT	No	"NLCD Land Cover; USDA Cropland Data Layer (CDL) (if used); recent imagery; local agricultural layers.
State/agency datasets, GIS/imagery, and field observations (as applicable)."	Poor	Livestock access to stream and/or intensive cropland immediately upstream of project reach.	0-0.29	Fair	Livestock access to stream and/or intensive cropland upstream of project reach. A sufficient reach of stream is between Ag. land use and project reach.	0.40-0.69	Good	There is little to no agricultural land uses or the livestock or cropland is far enough away from project reach to cause no impact to water quality or biology.	0.70-1.0	Physicochemistry	screening	Nitrogen and phosphorus transformations support primary production and food webs while limiting excess nutrient loads.	"Extent of agricultural land use and/or livestock access in the watershed, which can contribute nutrients, bacteria, and sediment.
Screening metric used to evaluate Nutrient cycling based on the definition and bin thresholds provided for this metric."	"Context: Watershed and Channel

Method: Desktop (land cover/listings) and/or Field screening"	"Use land cover/agricultural datasets and imagery to quantify agricultural extent and identify livestock access where specified. Assign the condition class using the bin thresholds for this metric.
Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds."	USDA CDL/NLCD (if used); MI SQT 2019; NC SQT 2019; USDA CDL/NLCD (if used); SC SQT 2021; USDA CDL/NLCD (if used); TN SQT; USDA CDL/NLCD (if used); WI SQT 2022; MN SQT 2020; USDA CDL/NLCD (if used); MN SQT 2020
Denitrification Potential (floodplain wetness)	Nutrient cycling	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	No wetlands or heavily drained soils with low denitrification potential.	0-0.29	Fair	Some wet zones but partially disconnected. / Limited wetland area and moderate export risk.	0.40-0.69	Good	Strong potential with connected wet areas and soils.	0.70-1.0	Physicochemistry	screening	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Adequate floodplain/wetland pockets for denitrification, consistent with local reference.	"Context: Floodplain

Method: Field"	Assess presence of wet pockets and redox indicators. Use hydric soils and wetlands mapping as a screening proxy.	NRCS SSURGO hydric soils; USFWS National Wetlands Inventory (NWI).
Dissolved Oxygen Fluctuation (diel swing)	Nutrient cycling	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	>6 mg/L swing or frequent dips below 3 mg/L.	0-0.29	Fair	2-4 mg/L swing with occasional stress. / 4-6 mg/L swing and borderline low DO at night.	0.40-0.69	Good	<2 mg/L diurnal swing and no frequent hypoxia.	0.70-1.0	Physicochemistry	screening	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Daily O2 changes are moderate (<2 mg/L), unless larger swings are normal (warm swamp streams).	"Context: Channel

Method: Field"	Analyze dissolved oxygen for diurnal swings where continuous data exist. If not, use spot checks and nutrient context as a screening proxy.	USGS NWIS continuous dissolved oxygen (where available); state continuous monitoring networks (where available).
Nuisance Algae / Periphyton Indicator	Nutrient cycling	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	>50% cover or thick scums.	0-0.29	Fair	10-30% cover or mild filaments. / 30-50% cover with partial blooms.	0.40-0.69	Good	No nuisance algae and <10% cover, or normal for region.	0.70-1.0	Physicochemistry	screening	Nitrogen and phosphorus transformations feed primary production, regulate excess loads, and store or release nutrients.	Algae suggests no excessive nutrients vs reference, unless historically moderate (open canopy).	"Context: Channel

Method: Field"	Estimate periphyton or algal cover during a field visit and interpret with light and nutrients.	EPA Water Quality Portal (nutrients and chlorophyll where available); field observations; watershed land cover context (NLCD).
Biological Integrity (IBI / community condition)	Population support	ERDC	Yes	State agency datasets, brief field recon	Poor	Absent where historically expected.	0-0.29	Fair	Some presence but limited. / Rare or single individuals.	0.40-0.69	Good	Multiple observations where historically expected.	0.70-1.0	Biology	screening	"Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.
Species interactions sustain biodiversity, restrain invasives, and build resilience to disturbance."	"Healthy numbers if historically supported, unless ephemeral dryness naturally excludes them.
IBI/multi-metric shows high integrity if historically expected, unless ephemeral dryness limits it.
Diverse macroinvertebrates (incl. EPT) if historically expected, unless ephemeral dryness limits."	"Context: Channel

Method: Field
Context: Channel

Method: Field screening and/or Desktop (biomonitoring databases)
Context: Channel

Method: Desktop"	"Conduct a brief visual or dipnet survey and record presence where expected.
Standard IBI score from sampling
Compile the most recent macroinvertebrate or fish IBI score or class from state or local databases for the reach or nearest station."	State Natural Heritage Program records; Herp Atlas or similar; BISON and/or iNaturalist as supporting context.; State biomonitoring protocols; USGS BioData and/or EPA Water Quality Portal biological results (where available).; CO SQT 2019; MI SQT 2019; MN SQT 2020; NC SQT 2019; WI SQT 2022; WY SQT 2019; state biomonitoring databases.
Catchment Restoration/Enhancement Context	Population support	North Carolina SQT	No	State/agency datasets, GIS/imagery, and field observations (as applicable).	Poor	Less than 40% of the total catchment area is draining to the project reach.	0-0.29	Fair	40 to 60% of the total catchment area is draining to the project reach.	0.40-0.69	Good	Greater than 60% of the total catchment area is draining to the project reach.	0.70-1.0	Biology	screening	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Screening metric used to evaluate Population support based on the definition and bin thresholds provided for this metric.	"Context: Channel

Method: Field screening and/or Desktop (biomonitoring databases)"	Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.	NC SQT 2019
Juvenile Refuge / Cover	Population support	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon;	Poor	<5% cover or none.	0-0.29	Fair	5-40% cover.	0.40-0.69	Good	More than 40% of reach has adequate juvenile cover.	0.70-1.0	Biology	screening	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Sufficient cover (wood, undercuts, veg) for recruitment/survival if historically expected.	"Context: Channel

Method: Field"	Estimate percent of reach with shallow, low-velocity cover usable as juvenile refuge.	Field mapping; hydrograph context (USGS NWIS where available); NAIP imagery as supporting context.
Spawning Substrate Quality	Population support	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon;	Poor	No suitable substrate. High embeddedness, bedrock, or other limiting condition.	0-0.29	Fair	Some silt but still feasible for spawning. / Heavily silted with limited spawning success expected.	0.40-0.69	Good	Clean or appropriate substrate with minimal silt.	0.70-1.0	Biology	screening	Physical and chemical conditions enable spawning, juvenile growth, migration, and stress survival of target taxa.	Clean gravel/vegetation is present if historically expected, unless alternative spawning is normal.	"Context: Channel

Method: Field"	Assess percent of clean gravel or other suitable spawning substrate for target species and note fine sediment cover.	Field substrate assessment; EPA Water Quality Portal (turbidity/TSS where available); geology and slope context.
Concentrated Runoff / Stormwater Inputs	Reach inflow	Michigan SQT; North Carolina SQT; South Carolina SQT; ERDC	Yes	"State/agency datasets, GIS/imagery, and field observations (as applicable).
"	Poor	More than 5 outfalls per 100 m, or major highway drains with concentrated discharge.	0-0.29	Fair	2-3 outfalls per 100 m, with some unmitigated runoff but partial buffering. / 4-5 outfalls per 100 m, with noticeable sediment or pollutant inputs.	0.40-0.69	Good	0-1 outfall per 100 m, and no noticeable discharge effects.	0.70-1.0	Hydrology	screening	"Quantity and quality of inflow (tributaries, ditches, and pipes) do not generate harmful peaks or pollution pulses and instead support diverse habitat conditions and native species.
Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions."	"Screening metric used to evaluate Reach inflow based on the definition and bin thresholds provided for this metric.
Runoff is minimal or well-managed, causing no significant direct inflows or pollutant pulses."	"Context: Watershed and Channel

Method: Desktop (permit/layer review) with field verification where feasible
Context: Channel

Method: Field"	"Use available GIS layers/imagery and/or a field screening (as applicable) to quantify or rate the metric according to the provided bin thresholds.
Count road or highway drainage outfalls per 100 m and note erosion or sediment plumes. Corroborate with available transportation layers if present."	MI SQT 2019; NC SQT 2019; SC SQT 2021; Field count; DOT drainage or as-built plans (where available); road drainage GIS layers.
Diversions / Withdrawals / Returns	Reach inflow	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Large or chronic diversions or returns that drastically alter the flow regime.	0-0.29	Fair	Minor ditches or returns with limited effect. / Moderate diversions or returns causing seasonal stress.	0.40-0.69	Good	No significant withdrawals or returns. Flows remain near natural.	0.70-1.0	Hydrology	screening	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Diversions/returns are minimal, flow remains near natural regime without artificial additions/withdrawals.	"Context: Watershed

Method: Desktop"	Map withdrawals, returns, and ditches that affect the reach using local diversion layers or mapped canals and ditches.	State water-rights and diversions GIS; irrigation district maps; NHD canals/ditches; USGS Water Use summaries.
Permitted Point-source Discharges	Reach inflow	Colorado SQT; North Carolina SQT; South Carolina SQT; Tennessee SQT; Alaska SQT; Wyoming SQT	No	"EPA ECHO/NPDES facility data and state permit databases; optional local outfall GIS layers.
ADEC database"	Poor	CDPS permitted facilities comprise a high percentage of the baseflow in the project reach OR 1 or more facilities present within 2 miles upstream of project reach have a high potential to threaten aquatic life.	0-0.29	Fair	CDPS permitted facilities comprise a low to moderate percentage of the baseflow in the project reach AND no facilities are located within 2 miles upstream of project reach.	0.40-0.69	Good	No CDPS permitted facilities upstream of the project reach.	0.70-1.0	Hydrology	screening	Quantity and quality of inflow (tributaries, ditches, and pipes) do not generate harmful peaks or pollution pulses and instead support diverse habitat conditions and native species.	Presence of permitted point-source discharges upstream (municipal/industrial) that may affect flow and/or water quality.	"Context: Watershed and Channel

Method: Desktop (permit/layer review) with field verification where feasible"	Query NPDES (or state-equivalent) permit records for facilities in the watershed and within the specified distance upstream. Summarize count and (if required) relative discharge magnitude (e.g., as a percent of baseflow). Assign the condition class using the bin thresholds for this metric.	EPA ECHO/NPDES (if used); CO SQT 2019; EPA ECHO/NPDES (if used); NC SQT 2019; EPA ECHO/NPDES (if used); SC SQT 2021; EPA ECHO/NPDES (if used); TN SQT; EPA ECHO/NPDES (if used); Alaska SQT; EPA ECHO/NPDES (if used); WY SQT 2019
Tributary Inflow Condition	Reach inflow	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Widespread severe tributary impacts that overwhelm the mainstem.	0-0.29	Fair	1-2 tributaries are moderately altered or somewhat polluted. / Multiple tributaries are significantly altered and deliver high sediment or pollutants.	0.40-0.69	Good	Tributaries are mostly natural with stable flows and sediment loads consistent with reference conditions.	0.70-1.0	Hydrology	screening	Quantity + quality of inflow (tributaries, ditches, and pipes) does not provide harmful peaks or pollution, and supports diverse habitat conditions.	Tributaries stable, matching reference (flow, quality, form), with no major flash/pollution surges.	"Context: Watershed and Channel

Method: Field"	At confluences, visually assess flow stability and turbidity. Supplement with available impairment lists and local monitoring data.	Field observations with turbidity tube or meter; available local monitoring datasets; state assessment listings (where available).
Sediment Supply Potential (watershed/banks)	Sediment continuity	Alaska SQT; Colorado SQT; Wyoming SQT; Michigan SQT; North Carolina SQT; Minnesota SQT; South Carolina SQT	Yes	"Imagery & 
Site data
Land cover and soils (e.g., NLCD, SSURGO), DEM/slope, roads layers, and recent imagery."	Poor	High anthropogenic-caused sediment supply from upstream bank erosion and surface runoff.	0-0.29	Fair	Moderate anthropogenic-caused sediment supply from upstream bank erosion and surface runoff.	0.40-0.69	Good	Low anthropogenic-caused sediment supply. Upstream bank erosion and surface runoff is minimal.	0.70-1.0	Geomorphology	screening	Balanced sediment supply and transport preserves bed elevations, substrate sizes, and habitat quality while supporting riparian succession.	Relative sediment supply from the watershed and near-channel sources. Excessive sediment supply can increase turbidity, embed substrates, and degrade habitat.	"Context: Watershed and Channel

Method: Desktop (GIS/imagery) with field verification where feasible"	Use available GIS layers and imagery (land cover, soils, slopes, roads) and local knowledge to rate potential sediment supply per the metric definition. Assign the condition class using the bin thresholds for this metric.	NLCD/SSURGO/DEM (if used); Alaska SQT; NLCD/SSURGO/DEM (if used); CO SQT 2019; WY SQT 2019; NLCD/SSURGO/DEM (if used); MI SQT 2019; NC SQT 2019; NLCD/SSURGO/DEM (if used); MN SQT 2020; NLCD/SSURGO/DEM (if used); SC SQT 2021
Channel Degradation / Incision	Sediment continuity	ERDC	No	Channel	Poor	Severe channel-wide incision with multiple major headcuts.	0-0.29	Fair	Minor localized incision. / Noticeable incision or one or two moderate headcuts that reduce floodplain access.	0.40-0.69	Good	No active downcutting. Bed elevation is stable.	0.70-1.0	Geomorphology	screening	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	Bed is stable, with no active incision disconnecting floodplain unless minor incision is normal.	"Context: Channel

Method: Field"	Extract cross sections from LiDAR or survey data to compare bed elevation to the floodplain and locate active headcuts.	USGS 3DEP LiDAR cross sections and hillshade; repeat DEMs where available.
Permafrost Degradation / Thermokarst	Sediment continuity	Alaska SQT	No	Imagery, Permafrost mapping, & Site data	Poor	Areas of permafrost degradation exist within or upstream of the project reach, contributing to hillslope slumping, increased erosion, and/or water quality impacts.	0-0.29	Fair	Areas of permafrost degradation exist within or upstream of the project reach contributing to hillslope slumping or increased erosion but are not resulting in impacts to water quality.	0.40-0.69	Good	No areas of permafrost degradation in the catchment area have been observed.	0.70-1.0	Geomorphology	screening	Balanced sediment supply and transport preserves bed elevations, substrate sizes, and habitat quality while supporting riparian succession.	Permafrost condition and evidence of thaw/degradation within the contributing area, which can increase sediment and alter hydrology.	"Context: Watershed and Channel

Method: Desktop (GIS/imagery) with field verification where feasible"	Review permafrost maps and recent imagery for evidence of thaw slumps/thermokarst and evaluate per the metric definition; confirm in field where feasible. Assign the condition class using the bin thresholds for this metric.	Alaska SQT
Sediment Balance (transport/deposition/turbidity)	Sediment continuity	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Severe siltation or turbidity that smothers substrate.	0-0.29	Fair	Minor silt layers or partial turbidity. / High turbidity or moderate silt coverage.	0.40-0.69	Good	Low chronic turbidity and minimal fines, or regionally normal conditions.	0.70-1.0	Geomorphology	screening	Balanced sediment supply and transport preserves bed elevations, substrate sizes, spawning/benthic habitats, and supports riparian succession.	"Fine input aligns with transport, unless higher turbidity/fines are historically normal (e.g., blackwater).
Deposition matches natural form, no severe bar formation beyond typical references.
Flow/slope balance incoming sediment, avoiding major bars or deep scour, unless imbalance is historically normal."	"Context: Channel

Method: Field
Context: Channel

Method: Desktop"	"Review available turbidity or TSS data and visually assess bed fines. Where data are absent, infer risk from land use and soils.
Delineate bar types (point, mid-channel, lateral) and compare to expected morphology for the channel type.
Screen stream power using discharge and slope and compare with observed bars or scour. Detailed transport modeling is beyond screening."	EPA Water Quality Portal (turbidity/TSS); USGS NWIS (where available); NLCD land cover; SSURGO K-factor (erodibility).; NAIP or orthophotos; LiDAR bare-earth DEM (where available).; USGS StreamStats flow statistics (where available); NHDPlus HR slope; NAIP imagery for bar validation.
Flow Alteration (Regulation / Water Use)	Streamflow regime	Alaska SQT; Colorado SQT; Wisconsin SQT; Wyoming SQT; Minnesota SQT; ERDC	Yes	"ADNR, ADF&G flow regulation & water rights data
USGS NWIS (gage data where available); modeled baseline hydrology; water-use/rights datasets; dam regulation information.
"	Poor	>50% difference. Near dewatering or strong hydropeaking.	0-0.29	Fair	10-50% difference.	0.40-0.69	Good	<10% difference from baseline.	0.70-1.0	Hydrology	screening	"Streamflow regime integrates the range of flows experienced by other processes and supports channel form, habitat diversity, and ecological life-cycle cues.
""Integrates the range of """"typical"""" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."""	"Degree of alteration in flow magnitude, timing, duration, or permanence relative to natural conditions due to regulation, withdrawals/returns, or watershed change.
Compares current daily-flow pattern to the natural regime, combining IHA metrics with the Richards-Baker flashiness index to screen for alteration from dams, withdrawals, or urbanization."	"Context: Channel

Method: Desktop (gage/records) with field verification where feasible
Context: Channel

Method: Desktop"	"Use available flow records (gage data), modeled natural baseline estimates, and/or water-use/rights information to estimate change from expected natural conditions for the metric definition. Assign the condition class using the bin thresholds for this metric.
Compare current mean annual flow to a natural or historical baseline and report percent difference."	USGS NWIS / modeled baseline (if used); Alaska SQT; USGS NWIS / modeled baseline (if used); CO SQT 2019; USGS NWIS / modeled baseline (if used); WI SQT 2022; USGS NWIS / modeled baseline (if used); WY SQT 2019; USGS NWIS / modeled baseline (if used); MN SQT 2020; USGS NWIS (current); USGS StreamStats (natural baseline where available).
Flashiness / Rate & Frequency of Change	Streamflow regime	Wisconsin SQT; Michigan SQT; Minnesota SQT	No	USGS NWIS streamflow records (where available); watershed land cover/soils for proxies.	Poor	RBI <25% quartile value or >75% quartile value.	0-0.29	Fair	RBI declining over time and approaching 25% quartile value, or increasing and approaching the 75% quartile value.	0.40-0.69	Good	RBI ≥ 25% quartile value and ≤75% quartile value.	0.70-1.0	Hydrology	screening	Streamflow regime integrates the range of flows experienced by other processes and supports channel form, habitat diversity, and ecological life-cycle cues.	Flashiness (rate and frequency of short-term flow fluctuations). Higher flashiness often reflects watershed alteration and can stress aquatic habitat and geomorphic stability.	"Context: Channel

Method: Desktop (gage/records) with field verification where feasible"	Compute a flashiness metric (e.g., Richards–Baker Flashiness Index) from daily (or finer) discharge data, or apply a watershed proxy (e.g., curve number) where specified. Compare to reference conditions/quartiles and assign the condition class using the bin thresholds for this metric.	USGS NWIS (if used); WI SQT 2022; USGS NWIS (if used); MI SQT 2019; USGS NWIS (if used); MN SQT 2020
Flow Permanence / Intermittency	Streamflow regime	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence	Poor	Major departure from reference flow permanence. Flow regime category is effectively changed.	0-0.29	Fair	Minor changes in dry or wet intervals. / Significant changes in flow permanence (for example a formerly perennial reach goes dry for extended periods).	0.40-0.69	Good	Flow permanence is stable and near the historical pattern for the stream type.	0.70-1.0	Hydrology	screening	"Integrates the range of ""typical"" flows experienced by other processes. Examines the degree to which upstream infrastructure or land uses have fundamentally altered flow regimes (e.g., hydropeaking, dams, withdrawals)."	"Flow permanence describes whether overall flow duration (ephemeral, intermittent, or perennial) and baseflow conditions match the expected natural regime, using SDAM class, streambed vegetation indicators, mean annual flow statistics, and where available, flowing-days data.
Documents dams, weirs, levees, diversions, pumps, and returns that alter hydrograph timing, peaks, baseflow, or floodplain access.
Zero-flow days and dry periods quantify how often a stream is dry and for how long. Stable statistics indicate consistent flow duration; increases in zero-flow days in a historically perennial reach indicate alteration."	"Context: Channel

Method: Desktop
Context: Channel

Method: Field"	"From gage records, compute zero-flow days and cessation periods. Where ungauged, compile spot-flow or logger observations where available.
Apply the regional SDAM rapid checklist to classify ephemeral, intermittent, or perennial conditions.
Estimate percent channel-bed vegetation and identify plant types relative to expected flow class for the region."	USGS NWIS daily flow (where available); The Nature Conservancy IHA or USGS EflowStats; local spot-flow or logger datasets.; SDAM regional guide and field forms.; SDAM regional guide and field forms; vegetation indicators described in regional SDAM guidance.
Percent Wetlands in Watershed	Surface water storage	ERDC	Yes	Watershed	Poor	<1% wetland coverage, or heavily drained wetlands.	0-0.29	Fair	1-5% wetland coverage.	0.40-0.69	Good	>5% wetland coverage, or consistent with historical norm.	0.70-1.0	Hydrology	screening	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Sufficient wetlands/ponds for flood attenuation/baseflow support, unless minimal wetlands are historically normal.	"Context: Watershed

Method: Desktop"	Calculate the percent area classified as wetlands using a land cover or wetlands layer. Where possible, compute within the mapped floodplain or valley bottom to better reflect storage.	MN SQT 2020; WI SQT 2022; SC SQT 2021; NLCD Land Cover and/or USFWS National Wetlands Inventory (NWI).
Floodplain Water Retention / Storage	Surface water storage	ERDC	No	High resolution aerial imagery; Field photos; Brief field recon; Historical evidence; Cross-section calculation tools	Poor	Rarely or never overbanking below about 10+ yr events. Deep incision or levees block moderate floods.	0-0.29	Fair	Overbanking requires flows slightly larger than typical bankfull, but still not rare. / Overbanking requires 5-10 yr floods. Partial disconnection.	0.40-0.69	Good	Floodplain is actively engaged at the local moderate-flood standard (often about 1-2 yr or 2-5 yr).	0.70-1.0	Hydrology	screening	Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat.	Moderate floods (~1-5 yr) reach the floodplain, providing water retention/infiltration per regional norms.	"Context: Floodplain

Method: Field"	Identify bankfull indicators and recent high-water marks and compare to bankfull elevation. Corroborate with a nearby gage bankfull or recurrence estimate where available.	USFS and NRCS bankfull field guides; USGS gage recurrence/rating data (where available).
Impoundments / Dams / Ponds	Surface water storage	Tennessee SQT; Colorado SQT; Wyoming SQT; ERDC	No	"National Inventory of Dams (NID) and/or state dam databases; NHD/NHDPlus waterbodies/flowlines; recent imagery.
"	Poor	Widespread channel fragmentation or overabundant ponding.	0-0.29	Fair	1-2 small obstructions with minor impacts. / Multiple ponds moderately disrupt connectivity.	0.40-0.69	Good	Beaver dams or small ponds enhance baseflow and habitat with negligible fragmentation.	0.70-1.0	Hydrology	screening	"Wetlands and other water storage features store floodwaters, recharge groundwater, sustain baseflow, and provide low-velocity habitat for aquatic and riparian species.
Wetlands and storage features store floodwater, recharge groundwater, sustain baseflow, and provide low-velocity habitat."	"Presence and proximity of impoundments (dams/ponds/reservoirs) that can alter flow regime, sediment transport, temperature, and aquatic connectivity.
Small beaver-type impoundments aid baseflow/habitat; no major fragmentation unless historically normal."	"Context: Watershed and Floodplain

Method: Desktop (GIS/imagery and existing datasets)
Context: Channel

Method: Field"	"Inventory impoundments upstream (and where specified, downstream) of the project reach using dam/impoundment datasets and imagery. Summarize proximity and/or density per the metric definition. Assign the condition class using the bin thresholds for this metric.
Count beaver dams or ponded sections per 100 m of channel. Use recent aerial imagery to pre-screen and compare to expected capacity for the setting."	National Inventory of Dams (if used); TN SQT; National Inventory of Dams (if used); CO SQT 2019; National Inventory of Dams (if used); WY SQT 2019; Field count; NAIP imagery; Beaver Restoration Assessment Tool (BRAT) for capacity context.
